layer,score,score_error,architecture,task,kind,source,between-concept dimensionality,between-concept radius,bias (mean),bias (std),other signal-noise-overlap (mean),other signal-noise-overlap (std),self signal-noise-overlap (mean),self signal-noise-overlap (std),signal (mean),signal (std),signal-noise-ratio (mean),signal-noise-ratio (std),within-concept dimensionality (mean),within-concept dimensionality (std),within-concept radius (mean),within-concept radius (std),80% variance,alpha,effective dimensionality,MRR
layer4.2.relu,0.168131618964749,0.0033112678662559,ResNet50,,Untrained,PyTorch,1.059058168306661,15.292876243591309,0.0390945635735988,0.2902708351612091,23.28672218322754,17.3316593170166,23.25030899047852,17.212493896484375,3.499297380447388,2.4262051582336426,0.2727377991617112,0.1716703410621192,1.0863328174547444,0.0377801942371022,37.3534049987793,7.264571666717529,1.0,2.258919908999131,1.0646889280845722,0.1444807070503951
layer1.0.relu,0.2979153620685075,0.0025745198939979,ResNet18,Object Classification,Supervised,PyTorch,4.266967827797459,0.0692467465996742,0.0409222654998302,0.2981451451778412,19.021339416503903,9.960616111755373,18.56447410583496,8.345048904418945,6.185408115386963,2.251088380813598,1.078838517201639,0.4737426007049956,4.7095134073850575,1.0098660223279656,0.1094200983643531,0.021542701870203,6.0,1.9609533048183243,7.195634245406435,0.36260642200714976
layer1.1.relu,0.3091041005922063,0.0043429836531476,ResNet18,Object Classification,Supervised,PyTorch,5.716611370387226,0.0559992752969265,0.0282351318746805,0.2443910837173462,14.225985527038574,6.166003704071045,14.08470058441162,5.684425354003906,5.866783142089844,1.8792206048965452,1.273623188470738,0.5010218615367251,6.3374135526218245,1.2202812989748475,0.0940026864409446,0.0150035275146365,9.0,1.5690756747371355,9.282137093035672,0.41106375149767205
layer2.0.relu,0.3681301573557076,0.0031977446835886,ResNet18,Object Classification,Supervised,PyTorch,6.0099570952551815,0.0578320361673831,0.0222394950687885,0.2158398479223251,12.450725555419922,5.3790154457092285,12.343005180358888,4.982260704040527,5.972897052764893,1.8867089748382568,1.5099777371381395,0.598283769279034,8.04261494536267,1.755422531388021,0.0951094850897789,0.0137332826852798,14.0,1.5134536587378102,12.530979839044695,0.4774726551715789
layer2.1.relu,0.3994892987417101,0.0036737439629063,ResNet18,Object Classification,Supervised,PyTorch,6.257819255090341,0.0511130280792713,0.0207741986960172,0.2085687518119812,11.405713081359863,4.863840103149414,11.259666442871094,4.348634243011475,5.89103889465332,1.7543317079544067,1.6111664978490292,0.6207404291266339,9.56241292363637,1.8709544867825736,0.0855331644415855,0.0119568482041358,21.0,1.2754973049148737,14.80121066360096,0.5194571308370322
layer3.0.relu,0.4951440570827923,0.0029729227745676,ResNet18,Object Classification,Supervised,PyTorch,7.744803420304403,0.0854068398475647,0.015346985310316,0.1783666610717773,10.823533058166504,4.194738864898682,10.671751976013184,3.620972394943237,6.472973346710205,1.7945842742919922,2.0383315476006905,0.7704950793202269,12.30447495322676,2.098061953691595,0.1299234330654144,0.0157722365111112,31.0,1.252678981460216,21.361880719316783,0.6333690777082386
layer3.1.relu,0.503908181906432,0.0034690691291792,ResNet18,Object Classification,Supervised,PyTorch,8.406935258598388,0.0791711583733558,0.0137384878471493,0.1687828004360199,10.020575523376465,4.208878040313721,9.83530044555664,3.539921522140503,6.600949287414551,1.7519906759262085,2.3362122873922395,0.9412511683214616,14.259842850444995,2.677435268616546,0.1180271804332733,0.0137892216444015,50.0,1.0539756283603945,33.51101450249391,0.6865227802289645
layer4.0.relu,0.5159154381980755,0.0032271939295816,ResNet18,Object Classification,Supervised,PyTorch,9.24340392367898,0.1296266764402389,0.0105323167517781,0.1470736712217331,9.871520042419434,4.047186851501465,9.780035018920898,3.776087045669556,7.070019245147705,1.7410017251968384,2.724924509374921,1.070872970228907,16.99985294796921,3.366227870676563,0.1802531629800796,0.018284497782588,117.0,0.9438267618156124,56.75116901216077,0.7720957922434538
layer4.1.relu,0.4560315873900313,0.0039748411103237,ResNet18,Object Classification,Supervised,PyTorch,13.475467406034086,1.5967463254928589,0.0079218195751309,0.1270678788423538,8.341005325317383,2.611607551574707,8.345136642456055,2.526172399520874,7.372219562530518,1.4674901962280271,3.378779560471527,0.9972527434047076,21.398716180880587,3.4785897934799435,2.1568410396575928,0.1859558075666427,135.0,0.8118965434635579,113.02335437306434,0.8772008663951404
layer1.0.relu,0.3064132898394607,0.0036865431676532,ResNet50,Object Classification,Supervised,PyTorch,4.649902334579464,0.0655809938907623,0.0368359237909317,0.2815294861793518,17.367794036865234,8.519378662109375,17.029165267944336,7.349094867706299,6.072798252105713,2.144528865814209,1.1322358890751212,0.4987022592381932,5.068042164442121,0.9367544069225568,0.1061399281024932,0.0195781663060188,7.0,2.746895701702773,8.045734732624231,0.37093792150274185
layer1.1.relu,0.3268957680397257,0.0040201761854753,ResNet50,Object Classification,Supervised,PyTorch,4.743151224025296,0.06500244140625,0.0396416187286376,0.2928871214389801,16.974655151367188,8.603686332702637,16.592464447021484,7.264452934265137,6.095701217651367,2.1424710750579834,1.1754747766536846,0.5201181745484565,5.494829046618557,1.1339872012903287,0.1049360632896423,0.0200573038309812,9.0,2.575363224485893,9.359566093650232,0.3861017527221864
