r2,r2_ceiled,nat_ed,eco_ed,model_ed,data_ed,eco_alignment,eco_alignment_strength,model_alignment,model_alignment_strength,data_alignment,data_alignment_strength,ambient,n_samples,resolution,alignment
0.5133954999505748,0.8397857625859145,2,2,3.2193467406860528,100,nat,1,nat,1,,,100,1000,0.1,high
0.5236334120005367,0.8753958808945288,2,2,4.481648335228475,100,nat,1,nat,1,,,100,1000,0.1,high
0.5136724107342032,0.8659278702101448,2,2,4.8992925052309335,100,nat,1,nat,1,,,100,1000,0.1,high
0.4921044923699926,0.8400658358892931,2,2,4.837648089177449,100,nat,1,nat,1,,,100,1000,0.1,high
0.5374901289639985,0.8870849683014207,2,2,3.4141412905416493,100,nat,1,nat,1,,,100,1000,0.1,high
0.5266856477024044,0.8783689289701437,2,2,4.894808158375772,100,nat,1,nat,1,,,100,1000,0.1,high
0.4951240438255429,0.8219231047046688,2,2,3.927114400560623,100,nat,1,nat,1,,,100,1000,0.1,high
0.4652164549934155,0.7868036437837506,2,2,3.19473713904339,100,nat,1,nat,1,,,100,1000,0.1,high
0.5080788269783467,0.8602935812648437,2,2,3.3369407363754138,100,nat,1,nat,1,,,100,1000,0.1,high
0.4944712183917516,0.8351372289207399,2,2,4.460331313681138,100,nat,1,nat,1,,,100,1000,0.1,high
0.5066531184969021,0.8595751496434787,2,2,4.440599077974288,100,nat,1,nat,1,,,100,1000,0.1,high
0.49053982824960807,0.8523339652412605,2,2,3.087554202089888,100,nat,1,nat,1,,,100,1000,0.1,high
0.4912498043586346,0.8250609114562076,2,2,4.525248551994814,100,nat,1,nat,1,,,100,1000,0.1,high
0.47985931471303755,0.8112225424430846,2,2,4.9084474229193225,100,nat,1,nat,1,,,100,1000,0.1,high
0.48518009042636456,0.8317291962689366,2,2,4.8285282912960925,100,nat,1,nat,1,,,100,1000,0.1,high
0.5031557913283126,0.8556564822157883,2,2,4.275122303653167,100,nat,1,nat,1,,,100,1000,0.1,high
0.49291466458165434,0.8428573852043941,2,2,4.480184613841904,100,nat,1,nat,1,,,100,1000,0.1,high
0.4354112559303007,0.7488309226935247,2,2,3.5809734267850297,100,nat,1,nat,1,,,100,1000,0.1,high
0.4905489586055624,0.8307713255978485,2,2,3.1460581439640256,100,nat,1,nat,1,,,100,1000,0.1,high
0.47746928558572105,0.8066993650901393,2,2,3.073715457663572,100,nat,1,nat,1,,,100,1000,0.1,high
0.5202309691555517,0.8813810920992307,2,2,4.7240950538991715,100,nat,1,nat,1,,,100,1000,0.1,high
0.5073261520667974,0.8484214947324007,2,2,4.60959888535567,100,nat,1,nat,1,,,100,1000,0.1,high
0.5169519224199701,0.8674373106680131,2,2,4.830275705487084,100,nat,1,nat,1,,,100,1000,0.1,high
0.4700646912194556,0.8033499149155046,2,2,3.188696015633811,100,nat,1,nat,1,,,100,1000,0.1,high
0.4992474700935331,0.8418591134787538,2,2,3.5316450766428558,100,nat,1,nat,1,,,100,1000,0.1,high
0.5221125889763978,0.8718202399310708,2,2,4.833981269512904,100,nat,1,nat,1,,,100,1000,0.1,high
0.4958815713122737,0.8497332699087573,2,2,3.7611918884305444,100,nat,1,nat,1,,,100,1000,0.1,high
0.46384297151178006,0.7881942955850961,2,2,3.0921923601843417,100,nat,1,nat,1,,,100,1000,0.1,high
0.5492401450978058,0.9216831541697248,2,2,4.049064329182174,100,nat,1,nat,1,,,100,1000,0.1,high
0.24262890914574098,0.4032317552836852,2,2,16.576028675495124,100,nat,1,nat,-1,,,100,1000,0.1,low
0.22722865611634788,0.3913916956138934,2,2,18.830269132961416,100,nat,1,nat,-1,,,100,1000,0.1,low
