,architecture,task,kind,source,layer,ED,SNR,MRR,Encoding score
73,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer1.1.relu,1.891739299091937,0.9323045064855549,0.1603040908468239,0.2425536861740332
74,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer2.0.relu,2.3630986497462576,1.0232560550473402,0.17134174408033392,0.2518497372948265
75,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer2.1.relu,2.309389637424785,1.0479077650974864,0.17226965350723564,0.2585115708786108
76,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer3.0.relu,2.372926789854322,1.037193815961637,0.1758311089326801,0.2525881550979068
77,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer3.1.relu,2.496191063786002,1.0043768383245733,0.17950380478719552,0.2368218064271509
78,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer4.0.relu,2.372712493913165,0.9579604939537524,0.17304631424792463,0.2179629058700888
79,ResNet18,Auto-Encoder,Self-Supervised,VVS,layer4.1.relu,3.697825102396482,1.1734592618148576,0.18644116563613392,0.2117074419009478
80,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer1.0.relu,4.088192345342197,1.6329355290214829,0.26222971108466686,0.2846060935454336
81,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer1.1.relu,4.521863101073222,1.6141866911864875,0.27845225762155923,0.3063571286647789
82,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer2.0.relu,5.707336990764843,1.6132055514335604,0.28927058994737465,0.325302227052857
83,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer2.1.relu,5.801326925841886,1.6226311395017146,0.32610834346487855,0.3586173549822081
84,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer3.0.relu,14.127616931385928,1.6940980708816034,0.3486778539345118,0.3781108166010111
85,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer3.1.relu,20.26285104692773,1.7239700751887224,0.33691035419840304,0.3504042129133695
86,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer4.0.relu,1.7340620321479656,0.8945610996949838,0.22041062386284302,0.3251869633137983
87,ResNet18,Contrastive Predictive Coding,Self-Supervised,VVS,layer4.1.relu,1.0628878723726842,0.4653425970864687,0.14676138484922568,0.2808746937673856
88,ResNet18,Colorization,Self-Supervised,VVS,layer1.0.relu,3.69016601232301,1.536923668732201,0.2317907050149946,0.2826824694915353
89,ResNet18,Colorization,Self-Supervised,VVS,layer1.1.relu,4.309730312452269,1.868981831078108,0.2690730490724712,0.2977743717863879
90,ResNet18,Colorization,Self-Supervised,VVS,layer2.0.relu,6.876992919099837,2.108519952517601,0.33273592719748185,0.3303795193472642
91,ResNet18,Colorization,Self-Supervised,VVS,layer2.1.relu,12.065277963381304,2.224750429347744,0.4229144533308415,0.3855552838557347
92,ResNet18,Colorization,Self-Supervised,VVS,layer3.0.relu,10.022406709183542,1.8688151691607235,0.42966727122591236,0.3750380336056231
93,ResNet18,Colorization,Self-Supervised,VVS,layer3.1.relu,26.130271767023405,1.7454128237381823,0.5457521744027243,0.4298403360006114
94,ResNet18,Colorization,Self-Supervised,VVS,layer4.0.relu,7.644626228142322,1.168929929280221,0.3637060861944373,0.3172480369369252
95,ResNet18,Colorization,Self-Supervised,VVS,layer4.1.relu,12.64726845864712,1.3724297944628732,0.44060768669281486,0.2983661160179
96,ResNet18,Relative Position,Self-Supervised,VVS,layer1.0.relu,5.24702257981579,1.6427832030770155,0.3196609915791137,0.2299815409448121
97,ResNet18,Relative Position,Self-Supervised,VVS,layer1.1.relu,5.53236151930815,1.7460490963331123,0.32828308689727137,0.239697733073997
