accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0356,0.2224,0.14950204877075823,-11.901894157097262,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1296,0.10992303232105304,-4.905044781544036,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1736,0.13157623378695363,-5.785267097271996,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.202,0.14301757252398561,-11.54081538159305,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.2284,0.1478122562531938,-11.573838109241205,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.144,0.11495529235618641,-4.9091074481123504,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.176,0.13354107308970978,-5.942347042573306,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.2132,0.14843469559393171,-12.797921884268133,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0256,0.2392,0.14604921452852954,-12.062610409020225,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.146,0.11505952945007264,-4.723509776092842,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1792,0.133083452868695,-5.636941286665763,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2152,0.14850146495064795,-8.00807126794756,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.2292,0.14924944678754945,-12.504545804278509,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.134,0.1132411078712166,-5.001319184955756,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1696,0.13212241595098628,-5.707598337466154,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.2064,0.14460998101051728,-12.918790374813366,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.2184,0.1437455511877229,-12.498185793619992,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1348,0.11516189283835802,-4.932506695574186,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1788,0.13719430576478842,-5.685186176898258,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1944,0.14157609763133133,-14.423139639902173,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.028,0.212,0.13837275364944046,-10.180526770082416,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1348,0.10994093936520397,-4.9595884012382845,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1764,0.1317037275210037,-5.76026089976526,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2036,0.14756351731258646,-12.373419522753654,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.2256,0.14987164598488686,-9.514111019986474,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.1388,0.11648191261025838,-4.845757860494089,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1664,0.1238246389715644,-8.856728764252923,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.2,0.14398646365764256,-13.443609394570528,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.034,0.23,0.1494439955146883,-11.462137674778642,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1644,0.1279614902298244,-4.776205498934884,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1608,0.12144537821658014,-5.747176354868806,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.2088,0.14416668769038055,-11.969384693300578,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.2244,0.14496357027267348,-8.927479975487662,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0256,0.1248,0.10236835258172479,-4.813253240660396,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1676,0.13039879921562783,-5.738687654425249,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.2112,0.14550802479963554,-13.895943455803621,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.2208,0.14566318556367025,-10.982787005759118,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1508,0.12370053497704586,-4.919529661989747,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.1816,0.1385220190254116,-5.951728506055948,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1968,0.14115070530776627,-8.837005321375683,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.028,0.218,0.14202398186125575,-9.483071292352948,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.034,0.1388,0.11135458228277739,-5.106137753135008,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1704,0.13318680358592375,-5.979410103533889,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1984,0.1383888704743404,-14.131044005252514,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.2272,0.14359786581676962,-12.644693183796942,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1392,0.11221888100698173,-5.046664316562016,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.174,0.13527162211901544,-6.179885024353789,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2092,0.1491471603963317,-13.898984531085894,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.2144,0.14450506341149189,-9.687763987315002,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.138,0.11341189943981986,-4.871938529897404,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1676,0.131475774862933,-5.806014267204218,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2084,0.15027076101874526,-8.663904950925861,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.2292,0.15275798935860843,-13.240050352900871,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0264,0.13,0.1065185300343966,-5.175826617927882,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1748,0.12914315294551207,-5.925234752439789,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1948,0.1388840539783494,-15.607165307521003,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0244,0.2088,0.13660736900734904,-11.061546133032172,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.134,0.11266288673482673,-5.094227661015381,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.178,0.13605910064031068,-5.870843281963747,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1868,0.13932340652263628,-16.137636995707464,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0256,0.2116,0.13695832351052867,-12.458620536572965,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.1272,0.10830921853466537,-5.084668333839872,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1744,0.13006843607699242,-5.974010875460849,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.2004,0.14250176814780346,-13.883343392851879,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.2324,0.15305265990600525,-12.444065514967834,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1424,0.11473111579904322,-4.8158576130308495,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1672,0.12484959409097264,-11.38998796515855,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.2052,0.14060852957507342,-15.357269119243446,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.2252,0.15074035621159176,-10.538001972903531,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1636,0.12938801274179443,-4.771907746316616,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1564,0.12207639696884899,-5.955477202231886,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.2132,0.14515065375103348,-14.487534860382489,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0304,0.2188,0.1449189437852676,-13.657035657696234,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0224,0.1232,0.09918315417171915,-4.959493179858388,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1712,0.12997201429512256,-5.932701613815419,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.2036,0.14362754897704869,-14.433790524842834,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.2084,0.14155161153547186,-10.540786179037072,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1568,0.1221775103594749,-4.679405227391152,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1756,0.13592300473590838,-5.572815462240051,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.194,0.14194544852597588,-7.879578233591252,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.2248,0.14201013612156227,-9.398156790192711,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
