accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0676,0.2312,0.16800635843686795,-4.084541532194549,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.148,0.3776,0.2709476240998332,-3.4672609060958828,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2012,0.4784,0.34035049070665535,-3.1890711399012757,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.24,0.536,0.38415518492774137,-2.9685687670866923,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2108,0.1660329958824302,-4.158110957623502,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1456,0.3624,0.265935864061575,-3.463867640088491,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2004,0.49,0.3428642047247749,-3.129536596387979,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2388,0.534,0.3815222550445311,-2.97877313056582,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.2004,0.1602230952915589,-4.234655196617215,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1256,0.3632,0.2534385237335849,-3.4687664173325277,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2008,0.4772,0.33821360045832644,-3.177380158096059,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.2392,0.5296,0.3820563442016686,-2.998473484575509,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0796,0.22,0.1739383002951753,-4.041265989010562,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.3364,0.23408861469623427,-3.6308162413262908,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1716,0.438,0.30694552891208254,-3.4291671923394795,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.2096,0.4916,0.35123176094024994,-3.1825085845010084,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2424,0.185185199178982,-3.930229240188806,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1236,0.3448,0.24521276734931086,-3.6146328632450015,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1624,0.4372,0.3005108832992661,-3.5006993981836017,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.204,0.4976,0.34724897175919,-3.231487493120345,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.07,0.25,0.17651236921558647,-4.252933103540876,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1264,0.342,0.24693958435326102,-3.5760071119335475,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1792,0.4496,0.31370618996745764,-3.4129377971952506,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.2168,0.5016,0.3583393653807007,-3.224792358400384,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.2144,0.16169316241166126,-4.219866302147216,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.11,0.346,0.23750137049264053,-3.61723398593281,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1704,0.4408,0.3073515200104331,-3.3821774271421425,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.206,0.5036,0.3479449296656764,-3.2439493703146627,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.23,0.17114434080527746,-4.242361064173279,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1212,0.3488,0.24505168878599162,-3.548429463652367,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1712,0.434,0.3079727610834278,-3.382102317154961,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1992,0.4972,0.3440499807652973,-3.2270236256392217,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.222,0.1661568367445514,-4.384391769940556,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1268,0.346,0.24752988872955034,-3.5897865359126984,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1764,0.438,0.31000213579449215,-3.4497879275735466,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.2128,0.5,0.3520507037959612,-3.2131794741218225,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.2252,0.16346191294036294,-4.295848465658136,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1236,0.354,0.24730042991716883,-3.5754621881406274,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1912,0.4552,0.3268365775250347,-3.315636365737417,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.22,0.5032,0.35924749178084225,-3.2044106834688435,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2324,0.16910174950762955,-4.1557854561333665,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.12,0.3388,0.2426565306429276,-3.5740233179404326,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1692,0.4248,0.3014030311683063,-3.4810208189657654,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
