accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.1424,0.374,0.26695810271469556,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2076,0.15991888564443044,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1156,0.3112,0.22829170246584335,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1332,0.364,0.25474718265763474,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1492,0.394,0.2792711913448063,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1944,0.14636401102670638,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1076,0.2884,0.2157642690169248,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.3612,0.2575476024541232,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.152,0.3844,0.27516492967524575,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0556,0.1824,0.1433570423583091,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.116,0.2824,0.21859990628526166,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.136,0.3556,0.2529329645000366,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.144,0.378,0.27133018584887825,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.062,0.1948,0.15021201470408793,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.104,0.3116,0.2183120843477685,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1324,0.3612,0.25571485786767956,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1496,0.3936,0.2768070074218931,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.1992,0.15442886748716397,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1096,0.2996,0.2183408128896175,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.142,0.3852,0.26941255210984366,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.16,0.4072,0.28763310159344546,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2084,0.16497729548248077,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.108,0.3032,0.22049933809922645,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1372,0.364,0.26055358735841155,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
