accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0852,0.2424,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1830521799233459
0.096,0.2652,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2020521795719301
0.1048,0.3004,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2160064889437416
0.0528,0.1688,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1374203191336968
0.0772,0.252,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.183111269245469
0.1052,0.2844,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2111108605703329
0.1008,0.294,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2114398810312509
0.0456,0.1668,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1327293075610524
0.088,0.2432,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1886688597782978
0.0996,0.28,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2074747926010237
0.0992,0.2996,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2122974099229291
0.0528,0.1772,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1370705628777919
0.0804,0.2332,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1748988675732456
0.0964,0.2764,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.203553748843502
0.1008,0.2872,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2109124679612004
0.0608,0.176,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1440253644709378
0.084,0.232,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1794354346376135
0.1044,0.2744,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2077305787069102
0.1072,0.2912,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2157676835107065
0.0548,0.1888,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1448783123498615
0.08,0.2408,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1802561689427264
0.1048,0.2908,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2139741605067544
0.1056,0.3084,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2195229850358127
0.0596,0.184,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.146440183104831
0.0724,0.2332,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1734055515625392
0.1008,0.2936,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2106631397488786
0.1016,0.3164,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2172955562085156
0.048,0.1628,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.1333956060184858
0.082,0.2472,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.181562984408248
0.1116,0.3,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2195061821307981
0.102,0.296,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch,0.2139502791456236
0.0536,0.1776,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.14153134396892
0.0824,0.246,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1821924485936844
0.1124,0.3092,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2225698970970069
0.1196,0.3292,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2350236432398196
0.0556,0.1848,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1445119070364905
0.0804,0.2476,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1814325300424292
0.1108,0.2824,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2142632487473869
0.1116,0.3156,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2241274015146094
0.0668,0.2076,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1573693060645822
0.0908,0.256,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1893556316430139
