accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0916,0.2568,5,5,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1906470739104441
0.118,0.3012,20,5,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2247172194545909
0.1272,0.3068,50,5,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2352393621568402
0.0544,0.1888,1,6,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1473092759971504
0.086,0.2404,5,6,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1835553824088423
0.128,0.3164,20,6,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2378159040357371
0.1236,0.3232,50,6,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2361863107353324
0.0408,0.1712,1,7,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1302719660453441
0.0952,0.2744,5,7,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2008701010659316
0.114,0.3104,20,7,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.226441075736772
0.1328,0.3216,50,7,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2430076004489696
0.05,0.172,1,8,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1364031985313229
0.0828,0.2584,5,8,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1858884877241349
0.12,0.302,20,8,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2259708263577103
0.1248,0.3096,50,8,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2346460220765929
0.0524,0.1796,1,9,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1397146465181304
0.0768,0.2492,5,9,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1796741048838778
0.1144,0.312,20,9,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2260098361703016
0.126,0.3196,50,9,layer1.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2377955808799204
0.056,0.18,1,0,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1463709051822536
0.0752,0.2536,5,0,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1814693540074695
0.1112,0.2804,20,0,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2151542014038603
0.1132,0.3044,50,0,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2258527773971472
0.0484,0.1828,1,1,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1382080505949061
0.0816,0.2328,5,1,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1795198434551151
0.1148,0.2992,20,1,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2209987387836336
0.1104,0.2976,50,1,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2187050104440377
0.0556,0.1896,1,2,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1469236321574159
0.0888,0.2644,5,2,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1912780289960643
0.1148,0.2872,20,2,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.218310133897884
0.1208,0.3072,50,2,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2288918972783437
0.0468,0.1628,1,3,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1328231653709655
0.088,0.2672,5,3,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1931966600675329
0.1032,0.2984,20,3,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2124316795479614
0.108,0.3,50,3,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2179255303034634
0.0428,0.1816,1,4,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1349402019795853
0.092,0.2524,5,4,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1923746439230091
0.0948,0.288,20,4,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2075551451599789
0.1092,0.2988,50,4,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2177155373084481
0.0476,0.16,1,5,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1313036129414526
0.082,0.2452,5,5,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1836885653534709
0.1076,0.2872,20,5,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2145682762704232
0.1152,0.296,50,5,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2241814070978952
0.0484,0.1908,1,6,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1417711970880161
0.0748,0.2304,5,6,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1735421757442818
0.1248,0.304,20,6,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2304151930749493
0.118,0.3116,50,6,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2272644706380597
0.038,0.1652,1,7,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1244336486968644
0.0924,0.266,5,7,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1963451592481165
0.1128,0.3096,20,7,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.224614212352744
0.1268,0.3204,50,7,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2342774348561873
0.0432,0.1612,1,8,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1276582412583639
0.0756,0.2424,5,8,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1762584904580477
0.1132,0.2796,20,8,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2169227749828579
0.1168,0.3016,50,8,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2253143793007686
0.0484,0.1644,1,9,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1336913033594074
0.0748,0.2364,5,9,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1753107831969373
0.1056,0.294,20,9,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2175040134214932
0.1216,0.3048,50,9,layer1.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2290116570889471
0.0572,0.1908,1,0,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1480308125178231
0.0764,0.2588,5,0,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1824787632694278
0.1128,0.284,20,0,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2185965158762428
0.1264,0.3072,50,0,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.236630341691663
0.0428,0.1896,1,1,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1361498607513404
0.0856,0.2548,5,1,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1881959794282169
0.122,0.3012,20,1,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2279015757776226
0.1216,0.3084,50,1,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2277307412227726
0.064,0.1984,1,2,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1557549933772551
0.0876,0.2724,5,2,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1933424569414041
0.1244,0.2976,20,2,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2266617069830654
0.1276,0.3104,50,2,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2366522003068467
0.0404,0.1704,1,3,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1293946190660936
0.0908,0.2772,5,3,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1958083677560641
0.1084,0.3104,20,3,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2203348570050882
0.1236,0.3056,50,3,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.229407198167976
0.0384,0.1852,1,4,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1320611095897775
0.0892,0.2596,5,4,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1935131903182994
0.0916,0.296,20,4,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2091863359918944
0.1072,0.3036,50,4,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.219246868983608
0.0504,0.1656,1,5,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1342687419632826
0.0892,0.2596,5,5,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1920399332361373
0.1132,0.3056,20,5,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2225457651858872
0.124,0.312,50,5,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2336486135903866
0.0484,0.184,1,6,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1414067330558357
0.0764,0.2356,5,6,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1773943362161388
0.1304,0.312,20,6,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2385979319955923
0.1196,0.3168,50,6,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2304868812689513
0.0484,0.1752,1,7,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.135209515182116
0.094,0.2736,5,7,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2017027636508702
0.1252,0.3212,20,7,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2346286155815893
0.1276,0.3168,50,7,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2367075115654645
0.0472,0.1652,1,8,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1313985100496433
0.0876,0.2376,5,8,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.183537889393914
0.1144,0.3008,20,8,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.222432498055414
0.1164,0.3156,50,8,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2290123202291222
0.0512,0.1744,1,9,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1380140654288223
0.084,0.244,5,9,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1838528735383977
0.1128,0.3108,20,9,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2256430815389638
0.1196,0.314,50,9,layer1.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2322821590897429
0.0584,0.1756,1,0,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1433828797565061
0.0716,0.2408,5,0,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.171629268064828
0.1,0.2688,20,0,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2055842492965359
0.116,0.2864,50,0,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.222535784599654
0.0364,0.1748,1,1,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.127935883401866
0.0728,0.2352,5,1,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1723108058575562
0.1044,0.2796,20,1,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2077929403664546
0.1024,0.2764,50,1,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2076563843235311
0.0628,0.2008,1,2,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1536738367237585
0.0812,0.2604,5,2,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1835594752092186
0.1116,0.2764,20,2,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2135730641522053
0.1184,0.2916,50,2,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2232741867948571
0.0448,0.15,1,3,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1272994031698948
0.0856,0.2572,5,3,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1888058846726102
0.1032,0.2904,20,3,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2103313950258294
0.11,0.2928,50,3,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2158741799821248
0.0412,0.1812,1,4,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1326675134017336
0.0816,0.2492,5,4,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1859005852066202
0.0928,0.2816,20,4,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2029225672288134
0.106,0.288,50,4,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2117678483540065
0.0472,0.1664,1,5,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1338115500629452
0.08,0.2528,5,5,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1821750688268703
0.1024,0.27,20,5,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2037976433261727
0.1088,0.2948,50,5,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2164976728103353
0.0388,0.1696,1,6,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1329352716874285
0.0712,0.2248,5,6,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1692655994307585
0.1076,0.2948,20,6,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2176706741616165
0.108,0.2924,50,6,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2170274356093909
0.0448,0.1688,1,7,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1348890861880197
0.0904,0.2552,5,7,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.19372375746217
0.1124,0.3024,20,7,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2207970100888086
0.1216,0.304,50,7,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2300868672989537
0.0472,0.1644,1,8,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1319156599227346
0.0768,0.2208,5,8,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1718895373176977
0.1032,0.28,20,8,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2093579469835267
0.1048,0.3,50,8,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2158123860323181
0.0504,0.1704,1,9,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.135241489761544
0.0712,0.2348,5,9,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.172441035743598
0.092,0.2928,20,9,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.207040836571708
0.1068,0.3044,50,9,layer2.0.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2182493213988395
0.06,0.1816,1,0,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1436735788374515
0.0712,0.2364,5,0,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1728019286928085
0.0916,0.2656,20,0,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1999973565881471
0.108,0.2896,50,0,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.219056298281551
0.0448,0.1652,1,1,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1320230168230195
0.0752,0.234,5,1,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1737405015693742
0.1052,0.2768,20,1,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2065552366567668
0.1036,0.2724,50,1,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2064495339068269
0.0636,0.2056,1,2,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1570675803051516
0.0832,0.2608,5,2,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.18494975963646
0.1152,0.2728,20,2,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2158878690989733
0.1184,0.3012,50,2,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2232803228542742
0.0444,0.16,1,3,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1290981130976463
0.0832,0.254,5,3,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1860679396217516
0.0956,0.29,20,3,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2052387753257813
0.1056,0.298,50,3,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2146981111729901
0.0404,0.186,1,4,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1354877984269088
0.0828,0.2404,5,4,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1849459843670527
0.0928,0.2776,20,4,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2022917946601555
0.1092,0.2888,50,4,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2161257229895773
0.0544,0.1648,1,5,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1382412944929404
0.0824,0.2444,5,5,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1807496300152684
0.1008,0.2716,20,5,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2041555130613445
0.1104,0.2904,50,5,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2167282427569766
0.042,0.186,1,6,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1356147102457391
0.0708,0.2212,5,6,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1681523300478442
0.1088,0.2928,20,6,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2170018559105365
0.1112,0.2888,50,6,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2182270456698753
0.0544,0.1684,1,7,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1384691044702916
0.088,0.2536,5,7,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1919221349876247
0.1168,0.2984,20,7,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2225018250960396
0.1276,0.3124,50,7,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2334884807955369
0.0504,0.1568,1,8,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1307575980929381
0.0812,0.2324,5,8,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1764444631227936
0.1092,0.2764,20,8,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2133697511964229
0.1096,0.2984,50,8,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2189634096600538
0.0524,0.1684,1,9,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.135557705104602
0.0708,0.2268,5,9,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1718852068134809
0.0924,0.2888,20,9,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2048681404554386
0.1084,0.2952,50,9,layer2.1.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2175264617340484
0.0632,0.1812,1,0,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1483975705306641
0.0808,0.2668,5,0,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1879437152606518
0.0992,0.292,20,0,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2126305696517438
0.1188,0.3228,50,0,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2331557418714233
0.0548,0.1776,1,1,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1431560096582923
0.0912,0.2472,5,1,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1905297440505096
0.1064,0.2984,20,1,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2169503724381552
0.1032,0.3172,50,1,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2190809712114824
0.0748,0.2168,1,2,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1643066380607803
0.0936,0.2756,5,2,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1998940304969541
0.114,0.3032,20,2,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2242038328201175
0.1188,0.3296,50,2,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2332276254968295
0.06,0.172,1,3,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1424731191948943
0.0904,0.2616,5,3,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1939552710156352
0.1012,0.3144,20,3,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2184745071261942
0.1132,0.3312,50,3,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2307515524318579
0.0452,0.1944,1,4,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1390361149567546
0.0972,0.2652,5,4,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1994956163354653
0.1008,0.3108,20,4,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2152608490150661
0.1216,0.3152,50,4,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2315055525398457
0.0676,0.174,1,5,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1511682825193052
0.0856,0.2468,5,5,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1863804185351091
0.1036,0.2896,20,5,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2144421446824907
0.1152,0.3136,50,5,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2285718610755467
0.0488,0.19,1,6,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1425605055379748
0.0856,0.2244,5,6,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1801624494171543
0.1084,0.3076,20,6,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2200899601637405
0.1172,0.3172,50,6,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2308319828952602
0.0524,0.1764,1,7,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1407622984329561
0.0932,0.2692,5,7,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2010780368570036
0.1132,0.3228,20,7,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2294715012494843
0.1292,0.3252,50,7,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2423327209926728
0.0536,0.1652,1,8,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1357062503379129
0.0792,0.2468,5,8,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1809003661060685
0.1184,0.3092,20,8,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2285352573607126
0.1172,0.3264,50,8,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2325029585751359
0.0532,0.1744,1,9,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1377297352783258
0.0772,0.242,5,9,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.179710092793546
0.1032,0.3148,20,9,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2189972629424074
0.1132,0.324,50,9,layer2.2.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2291070710581133
0.0648,0.1824,1,0,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.148859788538518
0.0808,0.2712,5,0,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1910263294762937
0.1056,0.2992,20,0,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2191745445609004
0.12,0.3236,50,0,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2358377148519278
0.06,0.1872,1,1,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1456221059173515
0.0928,0.25,5,1,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1922744115583629
0.1004,0.294,20,1,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2128843642486295
0.1068,0.3164,50,1,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2226941854066438
0.0728,0.2088,1,2,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1635369026588198
0.0924,0.2808,5,2,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1984156411522136
0.112,0.3048,20,2,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2250993121269889
0.1156,0.32,50,2,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2315235844288841
0.056,0.1696,1,3,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.1389838463156373
0.0872,0.2632,5,3,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.192221992137398
0.1024,0.3356,20,3,layer2.3.relu,ResNet50,Jigsaw,Self-Supervised,Taskonomy,0.2238235199317348
