accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.04,0.1804,0.1344750876585454,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2132,0.15201999922913353,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2228,0.15712454415610655,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.026,0.1104,0.10025328954410437,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1788,0.13678038756102673,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.2112,0.14942985079001714,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2336,0.1628192814773137,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1516,0.11816852900758464,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.194,0.14356663325750388,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2008,0.1488730005759543,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2312,0.16303472589375317,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1348,0.11043356080136671,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.172,0.1297062410403531,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2092,0.14916538321967446,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2172,0.15790547937130273,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1492,0.11655720357890544,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1728,0.13395582947189918,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.21,0.15309985602826368,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2296,0.1563712175687138,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1388,0.11695908314227552,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1884,0.1368015106557587,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.2268,0.16124160977891977,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2208,0.1573671154157449,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.03,0.1328,0.10737552820493354,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1708,0.1318394141044535,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2188,0.1530679775875155,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.054,0.228,0.15957485430736,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.1404,0.10952474741859217,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1776,0.13734213951588048,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2064,0.1487028906574523,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2292,0.15865200291171186,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1332,0.1086588498373403,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1608,0.12494379395669253,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.2096,0.14717493711183974,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.224,0.15642621837033063,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.146,0.11520126690614776,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.176,0.12985443369760866,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2172,0.15430648636009542,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0536,0.2256,0.16014589692164244,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.16,0.12693019236271227,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1808,0.13468472077020646,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2084,0.14907508844890488,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2208,0.15692760915860754,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
