layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
layer2.0.relu,0.25821072893498637,0.002768582714230138,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,29.741611983013602,347.6800178206929,IT
layer2.1.relu,0.2788190951202104,0.0025026664053193243,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,44.12918991001373,508.97528523727794,IT
layer3.0.relu,0.3865864649213256,0.002442783160254208,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,54.50487831597494,302.09893994736143,IT
layer3.1.relu,0.40756938375908003,0.003513870511490058,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,49.06529228421726,227.60181445936985,IT
layer4.0.relu,0.3969067422717136,0.0038213354031872023,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,27.777883075362602,113.41927096104116,IT
layer4.1.relu,0.3639983479242044,0.0035951640801029157,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,29.94933220209394,182.07863536414104,IT
maxpool,0.1716453722641049,0.0044452095290061795,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,14.796056781014276,45.05246971559927,IT
relu,0.08896248713145742,0.0038976544344467364,resnet18-cmc-1000components,dicarlo.MajajHong2015.IT.public-lin,7.82658346549947,38.041532440081326,IT
layer1.1.relu,0.26654584913565493,0.0041669646228748415,resnet18-cmc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,43.65211070049035,24.605693493942866,IT
layer2.1.relu,0.2921253149415309,0.0036337745669544953,resnet18-cmc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,98.06605648458712,71.62714277715139,IT
layer3.1.relu,0.3370990044185431,0.0034999768980963878,resnet18-cmc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,99.867498342383,36.66194700109613,IT
layer4.1.relu,0.3516168262012098,0.0044579277831705965,resnet18-cmc-pool-1000components,dicarlo.MajajHong2015.IT.public-lin,30.464680611710627,73.79407754805352,IT
encode_1,0.37989160953218776,0.005549569950824464,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,18.064687399164562,89.97359217845607,V4
encode_1.conv,0.18671585334528737,0.007902683287849939,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,10.904449143886053,100.2374844587045,V4
encode_2,0.4061550873218598,0.004994787107677242,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,24.531935002152895,276.181491240111,V4
encode_3,0.33362527857838825,0.004534654098943152,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,44.643707289236325,623.8813004925357,V4
encode_4,0.4160730174007626,0.006246139562829663,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,51.701035956848,525.4846251732583,V4
encode_5,0.39930875810945926,0.0068632400344927095,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,75.85653414397834,676.2756978212252,V4
encode_6,0.42200460804072104,0.005466755700563329,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,66.62226863073352,359.13919457947935,V4
encode_7,0.36622226796091756,0.006887718125807916,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,59.454407384286576,439.2157757851501,V4
encode_8,0.2988195473489078,0.004818950905182731,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,60.12960674644942,427.5878502889277,V4
encode_9,0.20720563472321213,0.005820952371498748,resnet18-supervised-1000components,dicarlo.MajajHong2015.V4.public-lin,44.78600237621766,313.8762749108132,V4
encode_3,0.2158407120584484,0.006251797558742804,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.V4.public-lin,22.524721754170734,22.632205016444864,V4
encode_5,0.16226312654383618,0.006886149046517705,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.V4.public-lin,80.863369591011,61.26193023366035,V4
encode_7,0.23234117325103543,0.00611657391774188,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.V4.public-lin,122.84291829187379,91.76927113928039,V4
encode_9,0.19415476312291696,0.00626030975287673,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.V4.public-lin,47.379770179924606,155.8459847659157,V4
encode_1,0.3741121259449304,0.006314673442293444,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,15.629796407496077,57.01257891167812,V4
encode_1.conv,0.1584992944405072,0.00685720444983589,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,8.888408951335759,52.489866273237894,V4
encode_2,0.4028079264317999,0.00539313975457641,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,16.242131137336656,216.9292577130078,V4
encode_3,0.3540301846013354,0.004617518866171508,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,45.002326950180695,627.9908497171853,V4
encode_4,0.4300097344454409,0.005470297529001125,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,48.755410326187096,454.6930603965079,V4
encode_5,0.4334769265691382,0.004694290484113594,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,52.962814571194905,560.4546395422608,V4
encode_6,0.43779754462343523,0.004485853906374443,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,43.07809806383003,241.50848101711287,V4
encode_7,0.41465216172176206,0.005608199369240984,resnet18-la-1000components,dicarlo.MajajHong2015.V4.public-lin,25.902364767907542,54.92261013825796,V4
