layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block4,0.34537024926847004,0.002307766898640603,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,54.435321425158925,163.75875080664545,IT,supervised
conv1,0.1597545618427643,0.004370887665384329,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,11.280407766549617,14.84222331904795,IT,supervised
conv3,0.19048474722462458,0.004880253945462518,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,7.677462414179674,10.09265257212421,IT,supervised
conv5,0.17113706080470695,0.005656041271109828,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,6.52733755203501,8.233365857645616,IT,supervised
fc7,0.1627892653626743,0.004152589848372675,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,10.003134121847781,11.89220551473817,IT,supervised
block1,0.1962499557194305,0.0028910636573914674,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,8.541391050245894,8.252314307063202,IT,supervised
block2,0.15507112952015462,0.004369231966407798,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,4.163255681986676,4.299677831350609,IT,supervised
block3,0.10229499108864208,0.003512596543538962,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,2.182589592458574,2.3045946620221507,IT,supervised
block4,0.08537759130100665,0.0048787209288439146,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,1.8673685716266533,1.9151193044196406,IT,supervised
block1,0.17886646366887796,0.0041758872911159236,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,11.777685794831218,8.667985483061925,IT,supervised
block2,0.16767971751050229,0.005606492919796329,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,8.255984071906676,6.034078865576757,IT,supervised
block3,0.15949010310808406,0.003298922093006992,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,5.687917738611762,4.014160126918305,IT,supervised
block4,0.12659818149743676,0.0034035301354515325,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.IT.public-lin,3.9304770837330554,3.693635748180003,IT,supervised
block1,0.2828143495314385,0.003464463940366897,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,23.321962459603345,59.488059369553305,IT,unsupervised
block2,0.2798130900591461,0.0027664969031613936,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,43.33093913630285,143.96704249087503,IT,unsupervised
block3,0.39999532976484986,0.0014084149330453228,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,69.64128277847287,110.57875524211012,IT,unsupervised
block4,0.38135304003306625,0.002533783332447147,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,43.03675379216614,207.73351692841365,IT,unsupervised
block1,0.2675140831022529,0.004500340551518651,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,19.6139084250959,43.612514662310126,IT,unsupervised
block2,0.3108705558650312,0.004100697956584975,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,46.569976868704,112.93197779882912,IT,unsupervised
block3,0.421238452109298,0.0035608923228396196,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,78.87428860213971,117.51407091538088,IT,unsupervised
block4,0.40445984927765966,0.0028964036025183335,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.IT.public-lin,63.21705605376319,390.76025581351183,IT,unsupervised
block1,0.28821665554332715,0.0030292853803557474,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,27.00152872462665,37.35552304646143,IT,unsupervised
block2,0.3023529777990321,0.002806849058916319,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,44.11012079254836,73.03678414296142,IT,unsupervised
block3,0.4306743719427627,0.0016733369488801497,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,66.6894936384193,101.75702049250971,IT,unsupervised
block4,0.4175561228866698,0.0037387323782945496,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,34.49565510896212,208.22446397460564,IT,unsupervised
block1,0.2598816135725083,0.00408561905713055,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,19.741332660638353,29.788398572325004,IT,unsupervised
block2,0.32514317614505645,0.004164329487414853,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,45.62804310203846,75.82112114569289,IT,unsupervised
block3,0.44245043923625593,0.0036757722762875604,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,74.20466104018078,111.00545268232116,IT,unsupervised
block4,0.4534065537802671,0.002633144569760534,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-lin,46.31114647835736,356.9351244451548,IT,unsupervised
logits,0.04133656702380978,0.002770802263858179,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,46.61245383225093,92.57292332578486,V4,engineered
logits,0.01252980425188279,0.0036880180601076445,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,33.86596530622134,50.05537350517653,V4,engineered
logits,0.025449234183869317,0.006568502099426212,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,14.004866815329956,27.578760368479948,V4,engineered
logits,0.04306378457543363,0.008372038782121645,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-lin,9.627508204315758,7.873873488307533,V4,engineered
