layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
block2,0.34924963055650937,0.0012965806492256614,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,14.12919629832828,143.96704249087503,unsupervised,reliable
block3,0.37374801359347576,0.001305817252959526,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,34.82079696840489,110.57875524211012,unsupervised,reliable
block4,0.3652495015022058,0.0011835227777999536,base=resnet50 simclr-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,31.037020651884692,207.73351692841365,unsupervised,reliable
block1,0.3143566192588586,0.0012330899407015637,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,9.02321314659274,43.612514662310126,unsupervised,reliable
block2,0.34610878722066174,0.001251200949608097,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,15.682259471818881,112.93197779882912,unsupervised,reliable
block3,0.371934383754542,0.0012741388928416146,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,38.369155337391696,117.51407091538088,unsupervised,reliable
block4,0.3538427520222935,0.0012062912411615976,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,bonner.Object2Vec.regression=lin,46.12970039011117,390.76025581351183,unsupervised,reliable
block1,0.3139909179701863,0.0012237922015152845,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,11.14176112403355,37.35552304646143,unsupervised,reliable
block2,0.34315179405887475,0.0012805963801269505,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,12.55209896739505,73.03678414296142,unsupervised,reliable
block3,0.3686018840555013,0.001279843259570727,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,32.41703370650006,101.75702049250971,unsupervised,reliable
block4,0.33500600799869446,0.0011575188909686617,base=resnet50 simclr-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,33.94944319713839,208.22446397460564,unsupervised,reliable
block1,0.30376879733867906,0.0012370754298224565,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,9.592999335399416,29.788398572325004,unsupervised,reliable
block2,0.3473394152424843,0.0012510521777643307,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,14.372754078360849,75.82112114569289,unsupervised,reliable
block3,0.3633743451671103,0.0012661948940976965,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,35.15478867764124,111.00545268232116,unsupervised,reliable
block4,0.3415891867926217,0.0011991158645492223,base=resnet50 barlowtwins-type=unsupervised-1000components,bonner.Object2Vec.regression=lin,62.823415096329796,356.9351244451548,unsupervised,reliable
