layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.3045841619078752,0.004328958405462807,resnet18-color,16.546597920479677,61.298086322963854,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.319237019291373,0.004724651689396048,resnet18-color,17.113833081475047,219.04179192589476,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.370734370444518,0.0043295226802030325,resnet18-color,24.96565350615135,251.07971206141698,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.39927116178836186,0.004358463901168715,resnet18-color,24.13734533122361,380.69995413054227,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4209874503241064,0.004466716999622279,resnet18-color,24.72947642936824,455.4090071495477,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4539007411035485,0.004528342783571404,resnet18-color,23.142007248434,473.4736182023992,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.4080612695726513,0.004641148989421914,resnet18-color,14.085959725491012,286.7022518978024,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.42822125651534426,0.0045499213513586646,resnet18-color,8.572496806701968,142.7110586286491,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.38620808676204293,0.00431055271464612,resnet18-color,9.57986487195866,44.66078979718826,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.39309072793035504,0.004066490061904167,resnet18-color,12.152692716619649,47.52870916822214,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.3098878181008486,0.004291749129664759,resnet18-rp,22.663781699665105,109.36834834278908,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3285807200720711,0.004241302117446355,resnet18-rp,18.868264716234172,229.6537937375893,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.33675687380796904,0.0043705490237408075,resnet18-rp,23.459649711658578,241.071677642991,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3609102895626713,0.004350262898221391,resnet18-rp,20.029841817154875,302.1750314544837,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.42001730367838286,0.004506913399401178,resnet18-rp,28.64399422844202,307.7322784559674,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4359495382841869,0.004555832998733113,resnet18-rp,23.34940770076053,334.0072422877179,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.439295830159409,0.004274307798669736,resnet18-rp,27.596302097645545,208.9320169334805,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.4590635647345838,0.004248257250940593,resnet18-rp,23.664710601054466,244.39873777644272,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.4473641649646115,0.004352156122767234,resnet18-rp,23.807776845377,98.02895882962265,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.44735938174510453,0.004295551181843154,resnet18-rp,23.359527087002927,85.33308128877756,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.31281041464505993,0.004288565408533546,resnet18-depth,16.667692534334858,33.02832994154075,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.27348421488110153,0.004183195520435101,resnet18-depth,10.461381432690896,26.462377947425992,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.3670365998110113,0.004382844123625073,resnet18-depth,29.3391428023541,157.22201199997932,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3749070015797156,0.0044336029970064765,resnet18-depth,26.56756853645129,409.02978729155285,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4094702828550505,0.004395008811315747,resnet18-depth,51.72132354313078,579.9050012060395,EVC+OPA+PPA+LOC+PFS+OFA+FFA
