layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
conv5,0.005515960369939494,0.0005656723976340353,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,8.812504571555936,15.875671830021266,V4,supervised
fc7,0.004127338054762779,0.0004040127466562794,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,12.11688993203569,17.32570485951217,V4,supervised
block1,0.0038888617448244113,0.0003437723350178797,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,13.659986595561422,23.391938779488758,V4,supervised
block2,0.0034766371169664637,0.0003199838053000461,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,20.137225294959556,33.47223237884626,V4,supervised
block3,0.0008116676319766091,0.0003032907271842965,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,17.113986906697495,60.919974788027936,V4,supervised
block4,0.0006308034323060802,0.00022934324710871952,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,7.503640796907816,28.25176587303287,V4,supervised
block1,0.00377477111216319,0.0003411611993192668,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,17.98268337671874,19.991783314731073,V4,supervised
block2,0.0036607664351308764,0.00039704321531288343,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,17.445761827251022,20.608048724224247,V4,supervised
block3,0.0032362874110466473,0.0004377667101675818,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,31.57595845949926,25.76083100564198,V4,supervised
block4,0.0045986748229859065,0.0004667107638304869,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,26.446699409920072,51.386119419465906,V4,supervised
conv1,0.0025908313683120497,0.00027007590459602324,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,16.18148740075188,27.65924179012877,V4,supervised
conv3,0.00790026833716694,0.00018612939417873113,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,54.91141378402158,139.34613635536041,V4,supervised
conv5,0.010072295934912961,0.00027546704602858535,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,75.49524652053924,110.6779043447512,V4,supervised
fc7,0.011199539017826263,0.00033346937901447825,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,29.04879859400244,227.13645028334082,V4,supervised
block1,0.003882520582186019,0.00031010104298634345,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,19.574282747373356,29.529389436605022,V4,supervised
block2,0.005164762791196785,0.00024040441978084187,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,33.43443585141794,55.59662547984754,V4,supervised
block3,0.01742347379900827,0.0003012048297827246,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,81.96052734779498,114.69687913791196,V4,supervised
block4,0.013749010818615797,0.0002974135677587937,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,55.496519606157435,182.26800494561527,V4,supervised
block1,0.0039007335537694938,0.0002811267189103693,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,28.522193802118558,23.12907609403569,V4,supervised
block2,0.004519028593175828,0.000209045246530507,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,73.03286114574274,56.05575421323803,V4,supervised
block3,0.016309430796621144,0.00024611227295234155,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,104.13673240464881,67.89410151786119,V4,supervised
block4,0.018166422628724022,0.0002494220186702938,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,54.435321425158925,163.75875080664545,V4,supervised
conv1,0.004017415926359655,0.0003412035389923994,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,11.280407766549617,14.84222331904795,V4,supervised
conv3,0.0029928014708067475,0.00038897037804511207,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,7.677462414179674,10.09265257212421,V4,supervised
conv5,0.0026195304458042734,0.0003879674759432836,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,6.52733755203501,8.233365857645616,V4,supervised
fc7,0.002721768829942888,0.00035821099425247655,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,10.003134121847781,11.89220551473817,V4,supervised
