80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
5.0,1.965923879781085,5.53236151930815,encode_3,ResNet18,Relative Position,Self-Supervised,VVS
9.0,1.7672456701020403,9.213855356858918,encode_4,ResNet18,Relative Position,Self-Supervised,VVS
11.0,1.6037423885058124,10.392236265000571,encode_5,ResNet18,Relative Position,Self-Supervised,VVS
15.0,1.5922404825019434,14.026892217143748,encode_6,ResNet18,Relative Position,Self-Supervised,VVS
19.0,1.482748936213493,16.291541291321984,encode_7,ResNet18,Relative Position,Self-Supervised,VVS
20.0,1.5896569203999078,17.08934267722913,encode_8,ResNet18,Relative Position,Self-Supervised,VVS
25.0,1.4612341556731858,16.197689284784243,encode_9,ResNet18,Relative Position,Self-Supervised,VVS
4.0,2.9722490980410057,3.912151692741218,encode_2,ResNet18,Depth Prediction,Supervised,VVS
6.0,1.9626047244890787,5.793603342175421,encode_3,ResNet18,Depth Prediction,Supervised,VVS
10.0,1.6872937452237686,8.421534975641796,encode_4,ResNet18,Depth Prediction,Supervised,VVS
13.0,1.5273024157405621,10.181790471079047,encode_5,ResNet18,Depth Prediction,Supervised,VVS
17.0,1.4892680795781985,11.511826906799401,encode_6,ResNet18,Depth Prediction,Supervised,VVS
22.0,1.3853273037524236,13.7410244342745,encode_7,ResNet18,Depth Prediction,Supervised,VVS
49.0,1.8034762137704357,19.282736131532122,encode_8,ResNet18,Depth Prediction,Supervised,VVS
77.0,1.1883065285105356,26.99987263827557,encode_9,ResNet18,Depth Prediction,Supervised,VVS
6.0,2.796652955825937,4.581374014912477,encode_2,ResNet18,SimCLR,Self-Supervised,VVS
8.0,1.8000537664688654,7.424479419915902,encode_3,ResNet18,SimCLR,Self-Supervised,VVS
12.0,1.588754287621751,11.207013789631864,encode_4,ResNet18,SimCLR,Self-Supervised,VVS
16.0,1.5246025849518303,11.076782040220266,encode_5,ResNet18,SimCLR,Self-Supervised,VVS
27.0,1.406981406922324,17.919720374519457,encode_6,ResNet18,SimCLR,Self-Supervised,VVS
35.0,1.2271309001860298,21.462200811403427,encode_7,ResNet18,SimCLR,Self-Supervised,VVS
65.0,1.7487192108587706,30.442719306561386,encode_8,ResNet18,SimCLR,Self-Supervised,VVS
114.0,0.9874965349537861,50.57581307062426,encode_9,ResNet18,SimCLR,Self-Supervised,VVS
5.0,1.9335986520374269,4.7749855091943365,layer1.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
8.0,1.6559688564275996,5.907112271352989,layer1.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
13.0,2.274591942988695,10.492102114640241,layer2.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
18.0,1.3563231146291288,12.657394085499158,layer2.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
27.0,1.9134398621421052,18.97255767396925,layer3.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
42.0,1.1235336937057312,28.78790072668633,layer3.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
109.0,1.5408789407055323,65.28734171827944,layer4.0.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
206.0,0.6945434756295962,176.23513387403568,layer4.1.relu,ResNet18,Deep Cluster,Self-Supervised,VVS
