accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.056,0.2104,0.1522495175816828,1,1,features.9,AlexNet,None,Untrained,PyTorch
0.0864,0.2796,0.19580695285143623,5,1,features.9,AlexNet,None,Untrained,PyTorch
0.1108,0.3232,0.22941716983290575,20,1,features.9,AlexNet,None,Untrained,PyTorch
0.108,0.3368,0.23415081733005158,50,1,features.9,AlexNet,None,Untrained,PyTorch
0.0512,0.1676,0.13485785572719608,1,2,features.9,AlexNet,None,Untrained,PyTorch
0.0972,0.2744,0.20198611833406108,5,2,features.9,AlexNet,None,Untrained,PyTorch
0.1124,0.3192,0.23076171815208685,20,2,features.9,AlexNet,None,Untrained,PyTorch
0.1136,0.328,0.23473630507235288,50,2,features.9,AlexNet,None,Untrained,PyTorch
0.0552,0.196,0.14534159505889793,1,3,features.9,AlexNet,None,Untrained,PyTorch
0.0876,0.2804,0.20025834009408316,5,3,features.9,AlexNet,None,Untrained,PyTorch
0.1224,0.352,0.2435980938038921,20,3,features.9,AlexNet,None,Untrained,PyTorch
0.11,0.3584,0.2415550052787049,50,3,features.9,AlexNet,None,Untrained,PyTorch
0.0504,0.19,0.14332575643463727,1,4,features.9,AlexNet,None,Untrained,PyTorch
0.0844,0.2668,0.19263725549958705,5,4,features.9,AlexNet,None,Untrained,PyTorch
0.1104,0.3156,0.22833428944497458,20,4,features.9,AlexNet,None,Untrained,PyTorch
0.1148,0.3372,0.2396733975471045,50,4,features.9,AlexNet,None,Untrained,PyTorch
0.062,0.2024,0.15307027315532037,1,5,features.9,AlexNet,None,Untrained,PyTorch
0.0792,0.27,0.18862888319189866,5,5,features.9,AlexNet,None,Untrained,PyTorch
0.1144,0.3336,0.23457701184135507,20,5,features.9,AlexNet,None,Untrained,PyTorch
0.1148,0.3504,0.2398128721041266,50,5,features.9,AlexNet,None,Untrained,PyTorch
0.0424,0.1692,0.13038122045840977,1,6,features.9,AlexNet,None,Untrained,PyTorch
0.084,0.2576,0.18915172182625625,5,6,features.9,AlexNet,None,Untrained,PyTorch
0.1012,0.316,0.22156470973926518,20,6,features.9,AlexNet,None,Untrained,PyTorch
0.1196,0.3396,0.24109442757367325,50,6,features.9,AlexNet,None,Untrained,PyTorch
