layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_9,0.1444674365707043,0.0004949581717296681,resnet18-supervised-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,47.379770179924606,155.8459847659157,IT
encode_1,0.015561010332645715,0.0003777555365099352,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,15.629796407496077,57.01257891167812,IT
encode_1.conv,0.014321658260301509,0.000594265618509729,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.888408951335759,52.489866273237894,IT
encode_2,0.009542969389034392,0.0002780471358433578,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,16.242131137336656,216.9292577130078,IT
encode_3,0.012958844049255866,0.0003174377927818026,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,45.002326950180695,627.9908497171853,IT
encode_4,0.016339979426063467,0.0003546952943773142,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,48.755410326187096,454.6930603965079,IT
encode_5,0.018477036781695672,0.0003714631868227141,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,52.962814571194905,560.4546395422608,IT
encode_6,0.03000538421379152,0.00038441628922698454,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,43.07809806383003,241.50848101711287,IT
encode_7,0.030176181501146614,0.00031070539931855895,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,25.902364767907542,54.92261013825796,IT
encode_8,0.028056028609643745,0.000319109718968222,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,8.275935838597222,16.04707199557393,IT
encode_9,0.1396647476694294,0.0002511544734528349,resnet18-la-1000components,dicarlo.MajajHong2015.IT.public-rdm,45.72388266620264,290.50594356437296,IT
encode_3,0.00817512176290945,0.0003698106331560516,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,30.645990968105313,21.115893248710478,IT
encode_5,0.01965441530462441,0.0003724293527807075,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,81.31168824280365,54.836266961273246,IT
encode_7,0.024096431390389295,0.00045110135874819855,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,16.781892207170394,4.380190091979924,IT
encode_9,0.13179307322650566,0.0003192722444956022,resnet18-la-pool-1000components,dicarlo.MajajHong2015.IT.public-rdm,49.42144658758236,118.40163479445803,IT
encode_1,0.012169405858623798,0.00030596727951607124,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-rdm,18.028111698528942,73.82007516352552,IT
encode_1.conv,0.014622347120576995,0.0005758052044474533,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-rdm,11.057272742272232,103.61080027603973,IT
encode_2,0.011249771082973235,0.000309433066118165,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-rdm,26.06061317992372,268.551229517882,IT
encode_3,0.014679708318730111,0.0003969694617547025,resnet18-ir-1000components,dicarlo.MajajHong2015.IT.public-rdm,38.601394230233645,596.3459503478392,IT
