architecture,task,kind,source,layer,80% variance,alpha,effective dimensionality
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.0.relu,2.0,1.2987276079585344,1.900410383134935
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.1.relu,2.0,1.328244488023179,1.560414120564566
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.2.relu,2.0,1.34106149147792,1.5643275399488703
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.3.relu,2.0,1.3549379729618705,1.5962757550831057
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.4.relu,1.0,1.418012275084507,1.289276973317491
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer3.5.relu,1.0,1.4331037380779348,1.2219338478324029
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer4.0.relu,1.0,1.6354656448990088,1.0769485577010345
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer4.1.relu,1.0,1.656485929554793,1.012845986115496
ResNet50,Inpainting,Self-Supervised,Taskonomy,layer4.2.relu,1.0,1.7542934518455446,1.003350331978016
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer1.0.relu,10.0,1.0890667127990554,3.043812910813452
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer1.1.relu,7.0,1.1366477747442567,2.967880624861728
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer1.2.relu,11.0,1.1101032222666394,3.438424285087959
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer2.0.relu,5.0,1.3387913062341608,3.392795024466976
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer2.1.relu,5.0,1.305912786889451,3.457760691447122
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer2.2.relu,5.0,1.2783989978670691,3.610196690327392
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer2.3.relu,10.0,1.276155091384677,4.789853143020146
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.0.relu,5.0,1.5013301246898443,3.572637817740108
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.1.relu,4.0,1.4859461876699027,2.519567008316388
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.2.relu,4.0,1.451303847298062,2.25962395340267
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.3.relu,3.0,1.4154816754653088,2.1175852568776574
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.4.relu,4.0,1.3865547697268459,2.656402738112577
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer3.5.relu,5.0,1.3534307691190062,2.986846345928789
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer4.0.relu,8.0,1.8239393535678234,4.3513174564194514
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer4.1.relu,1.0,1.628835723481108,1.219670123561039
ResNet50,Vanishing Point Estimation,Supervised,Taskonomy,layer4.2.relu,1.0,1.454063138869938,1.0316989604951936
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer1.0.relu,36.0,1.156707648551422,7.697979110272466
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer1.1.relu,49.0,1.041932916852914,8.65629110739422
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer1.2.relu,63.0,0.9702340066856623,9.558085819686156
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer2.0.relu,107.0,1.0521417616975983,20.22070209495212
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer2.1.relu,137.0,0.9520857643447553,23.98545455060321
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer2.2.relu,160.0,0.8810034406106637,27.888958164571985
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer2.3.relu,155.0,0.9098474912312536,29.033237481216307
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.0.relu,207.0,1.064086706243961,44.26717425979255
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.1.relu,263.0,0.9656403241726692,50.09692293720436
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.2.relu,275.0,0.948458993049783,54.11049742055801
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.3.relu,297.0,0.9148637394560485,57.95822589764873
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.4.relu,284.0,0.9245416028326027,53.77361414410405
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer3.5.relu,286.0,0.920873503796975,53.86348321345469
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer4.0.relu,403.0,1.029803203983499,80.550876788828
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer4.1.relu,522.0,0.9685904641922497,128.9949291175007
ResNet50,Barlow-Twins,Self-Supervised,Pytorch Hub,layer4.2.relu,632.0,0.9138209271759208,246.48914570916875
