accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0444,0.19,0.14152146196159554,-4.104431141632935,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2296,0.15971141210495796,-4.164908658443695,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.056,0.2504,0.1695837990227408,-3.999093384605871,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1528,0.11650042864687069,-4.684221110742153,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1944,0.1439870004647147,-4.079602572263864,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.22,0.1614319854247945,-4.114909171715139,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.266,0.17608732090877735,-4.0145516677588,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1456,0.11917229371239318,-4.658866269634917,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.206,0.14753460911886576,-4.107577206924045,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2416,0.1641825856201336,-4.093644770712944,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.2568,0.17242671707149743,-3.917683712429514,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1516,0.11907286320098304,-4.722290859200997,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1796,0.13686570137165266,-4.125129241428368,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2216,0.15455750353991424,-4.187989376042606,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2496,0.1672698920341878,-4.0813283329668195,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0268,0.1376,0.10886843718642138,-4.611201068646989,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1848,0.136877090320159,-4.102617386871605,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.2328,0.15724967015423805,-4.105047762280298,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2392,0.165547488912632,-4.023754259973794,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1308,0.11089214814820599,-4.461971591218102,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1808,0.13628580651702282,-4.255505311415878,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.208,0.15177524751238114,-4.422422131851151,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.2388,0.15749616018629897,-4.1138919887176115,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1408,0.11574541730734265,-4.752524056168517,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1788,0.13706862064213102,-4.263303258825996,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2076,0.15302455390151584,-4.406939427852713,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.2284,0.1547425763538374,-4.10927846507506,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1512,0.1191771032509638,-4.728185585317386,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.18,0.13754847046631247,-4.327231681453332,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1936,0.14629901911572418,-4.360909850285728,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.23,0.1536016931377943,-4.161556616725256,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.1452,0.11634219571209839,-4.400737764626932,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
