layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_4,0.325302227052857,0.00589557289254628,resnet18-cpc,20.482725671267445,176.35589862976306,IT
encode_5,0.3586173549822081,0.0028857993516188184,resnet18-cpc,24.852193699228465,82.60374219992657,IT
encode_6,0.37811081660101115,0.004722573927851017,resnet18-cpc,37.46052874953362,138.49029416863033,IT
encode_7,0.3504042129133695,0.004891236800556109,resnet18-cpc,42.685011017986355,167.62342022519124,IT
encode_8,0.3251869633137983,0.004102512354801352,resnet18-cpc,10.27127034012462,7.4813382511725255,IT
encode_9,0.2808746937673856,0.0031478195095437944,resnet18-cpc,2.1516166028033386,1.7377031641892018,IT
encode_1,0.22602699395154624,0.004201163154630332,resnet18-color,17.647725199043467,61.298086322963854,IT
encode_1.conv,0.21086299059318947,0.004340256437705954,resnet18-color,19.821121839881673,219.04179192589476,IT
encode_2,0.2826824694915353,0.00376789967363262,resnet18-color,29.133478981258165,251.07971206141698,IT
encode_3,0.2977743717863879,0.002098223569741212,resnet18-color,33.84526165981841,380.69995413054227,IT
encode_4,0.33037951934726423,0.0028889671966683852,resnet18-color,42.42169793474307,455.4090071495477,IT
encode_5,0.38555528385573473,0.003939906313233533,resnet18-color,55.238140209486424,473.4736182023992,IT
encode_6,0.3750380336056231,0.004787511259779458,resnet18-color,46.42885113366633,286.7022518978024,IT
encode_7,0.4298403360006114,0.004800936421835529,resnet18-color,27.217185633000906,142.7110586286491,IT
encode_8,0.3172480369369252,0.005905191968260868,resnet18-color,26.83127526406252,44.66078979718826,IT
encode_9,0.2983661160179,0.004459310407300996,resnet18-color,32.526105145508,47.52870916822214,IT
encode_1,0.22004255841958384,0.004193311643794387,resnet18-rp,18.897135623867648,109.36834834278908,IT
encode_1.conv,0.17760158563605438,0.003374551106664173,resnet18-rp,16.875786164325152,229.6537937375893,IT
encode_2,0.22998154094481216,0.003690349516105025,resnet18-rp,18.687039210080535,241.071677642991,IT
encode_3,0.23969773307399708,0.003371602421011657,resnet18-rp,17.362463436176373,302.1750314544837,IT
encode_4,0.29271229969841517,0.002969274692024862,resnet18-rp,27.797600224828596,307.7322784559674,IT
encode_5,0.32646869473562556,0.0029474340589506465,resnet18-rp,28.503375954302868,334.0072422877179,IT
