layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_2,0.17392866568575485,0.006132052262207282,resnet18-ae,16.59005433308759,27.480866041734213,IT
encode_3,0.18527134646845572,0.006021162733240345,resnet18-ae,18.574109074150094,32.11138963920859,IT
encode_4,0.18309105723739702,0.004016984390684113,resnet18-ae,24.804875499343787,43.63955789653345,IT
encode_5,0.17417174240620314,0.0047251748707957545,resnet18-ae,30.003748229399317,47.07083575572173,IT
encode_6,0.1599245211192422,0.004864835952464971,resnet18-ae,35.54907491681423,49.80381899278779,IT
encode_7,0.14916158074867927,0.004548549320075506,resnet18-ae,43.262859698660456,42.156729809304046,IT
encode_8,0.13264023193610525,0.0039338980176495675,resnet18-ae,41.94152573217687,33.8992954669629,IT
encode_9,0.12922656950590306,0.003381139631443944,resnet18-ae,62.26804594789959,83.94592303074742,IT
encode_1,0.15082532883931632,0.0030885145653701982,resnet18-cpc,16.404558157485074,75.24962635343476,IT
encode_1.conv,0.12022165946520516,0.004450734742098274,resnet18-cpc,19.588064276122292,290.7572905216086,IT
encode_2,0.20090561448166294,0.002979147672696816,resnet18-cpc,20.765005286072995,270.7773254856769,IT
encode_3,0.21865417746087018,0.003250891106948608,resnet18-cpc,17.268225957615908,224.7896254073912,IT
encode_4,0.2500682258406465,0.0040674657306390095,resnet18-cpc,20.482725671267445,176.35589862976306,IT
encode_5,0.2878316542833782,0.002964945994301126,resnet18-cpc,24.852193699228465,82.60374219992657,IT
encode_6,0.30096591504205195,0.0028899930199998394,resnet18-cpc,37.46052874953362,138.49029416863033,IT
encode_7,0.2829086716280449,0.003546119038740877,resnet18-cpc,42.685011017986355,167.62342022519124,IT
encode_8,0.2559121462566924,0.004105758723663459,resnet18-cpc,10.27127034012462,7.4813382511725255,IT
encode_9,0.22863239649457734,0.004303403332969791,resnet18-cpc,2.1516166028033386,1.7377031641892018,IT
encode_1,0.1414730146670124,0.004876180481086085,resnet18-color,17.647725199043467,61.298086322963854,IT
encode_1.conv,0.12248982839717826,0.0038659561463246714,resnet18-color,19.821121839881673,219.04179192589476,IT
encode_2,0.1918754443442366,0.003288609055309577,resnet18-color,29.133478981258165,251.07971206141698,IT
encode_3,0.21033487380268456,0.004642517786248029,resnet18-color,33.84526165981841,380.69995413054227,IT
encode_4,0.2389460167918498,0.0024265597323217853,resnet18-color,42.42169793474307,455.4090071495477,IT
encode_5,0.29432705843842133,0.00505382348113092,resnet18-color,55.238140209486424,473.4736182023992,IT
encode_6,0.2924235708393858,0.0025613124140004516,resnet18-color,46.42885113366633,286.7022518978024,IT
encode_7,0.33564575017997345,0.0029018903546830163,resnet18-color,27.217185633000906,142.7110586286491,IT
encode_8,0.2534437707245806,0.0027952667681021746,resnet18-color,26.83127526406252,44.66078979718826,IT
encode_9,0.23370614254003622,0.0036851672938890724,resnet18-color,32.526105145508,47.52870916822214,IT
encode_1,0.14352221993940184,0.00462092558360893,resnet18-rp,18.897135623867648,109.36834834278908,IT
encode_1.conv,0.10203759376343623,0.004072092511431922,resnet18-rp,16.875786164325152,229.6537937375893,IT
encode_2,0.15993438427593093,0.003918533523092752,resnet18-rp,18.687039210080535,241.071677642991,IT
encode_3,0.16233580730376873,0.003156237963961086,resnet18-rp,17.362463436176373,302.1750314544837,IT
encode_4,0.2153037843247769,0.003015120428883366,resnet18-rp,27.797600224828596,307.7322784559674,IT
encode_5,0.24575942939500978,0.0022683794547144055,resnet18-rp,28.503375954302868,334.0072422877179,IT
encode_6,0.28477650904433083,0.0051374948823812916,resnet18-rp,41.21430961500281,208.9320169334805,IT
encode_7,0.3168885961365175,0.0032370487156269906,resnet18-rp,40.962646281546746,244.39873777644272,IT
encode_8,0.3322379207831831,0.002482996573297507,resnet18-rp,32.61988387532379,98.02895882962265,IT
encode_9,0.33404710238223,0.002381541575660879,resnet18-rp,29.226707217238822,85.33308128877756,IT
encode_1,0.14507675402362194,0.004958425872254704,resnet18-depth,15.01380787761073,33.02832994154075,IT
encode_1.conv,0.0570130634831739,0.004594649330751131,resnet18-depth,11.084050658597759,26.462377947425992,IT
encode_2,0.1781908844516318,0.005362949628011242,resnet18-depth,26.793859131177523,157.22201199997932,IT
encode_3,0.18107112526199315,0.0036792573123613738,resnet18-depth,34.659658874754676,409.02978729155285,IT
encode_4,0.19825712880940846,0.004618260968286406,resnet18-depth,62.39208133632988,579.9050012060395,IT
encode_5,0.2323673671767897,0.0036204649642316952,resnet18-depth,44.794442510942936,594.9087999947268,IT
encode_6,0.26971224456799264,0.004687749428648129,resnet18-depth,34.74995876663731,419.03877943324864,IT
encode_7,0.2687892043876813,0.004816047248780094,resnet18-depth,30.608836050619214,467.2771034302559,IT
encode_8,0.2040745408225677,0.004903237641634246,resnet18-depth,18.923394954345667,285.51753901854465,IT
encode_9,0.18912562123003782,0.0030380017763176107,resnet18-depth,17.616716291928718,264.6338453119538,IT
encode_1,0.14800199896882668,0.003870071189418023,resnet18-simclr,12.986020909460446,36.30014911301305,IT
encode_2,0.20801133891989174,0.003750967451863276,resnet18-simclr,16.03150098956471,187.04613350623086,IT
encode_3,0.20458794797966368,0.003437656509176338,resnet18-simclr,23.70246436174258,455.95286137046094,IT
encode_4,0.22771876611182262,0.00259840430132783,resnet18-simclr,57.035097562661555,588.3455846039001,IT
encode_5,0.2490767164997773,0.0034399135023619764,resnet18-simclr,52.90822197258064,598.8525468859698,IT
encode_6,0.3864300570375923,0.0026063103593177354,resnet18-simclr,49.426859541813705,325.97167842208177,IT
encode_7,0.42729275414249895,0.0021330074339576833,resnet18-simclr,48.437854097682326,291.9641502224902,IT
encode_8,0.46648927885670644,0.004198627831387621,resnet18-simclr,50.19824643824808,219.40756765826475,IT
encode_9,0.4563313847236679,0.0035493140475089608,resnet18-simclr,39.41372045277228,239.6122762606354,IT
layer1.0.relu,0.18144329427593622,0.00364199531294501,resnet18-deepcluster,54.80568320942432,441.1618858801296,IT
layer1.1.relu,0.18415156852603343,0.0042032691401331515,resnet18-deepcluster,56.51895377117659,543.5727155926094,IT
layer2.0.relu,0.2530315951264103,0.003908748245520813,resnet18-deepcluster,57.14142931854085,441.0188221812854,IT
