num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
45,0.1278374280279487,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
66,0.13317565174319898,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
97,0.13582002693966286,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
142,0.13784721926618398,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
207,0.13704211008062833,256,layer1.0.relu,ResNet50,None,Untrained,PyTorch
1,0.010790580570670377,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
2,0.02796205098433295,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
3,0.03443317270153235,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
4,0.03614468127279034,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
6,0.053273485076455164,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
9,0.07056607924259511,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
14,0.09104903961683478,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
21,0.10233256877724788,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
30,0.1181095368664292,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
45,0.1299370197982615,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
66,0.13381787640197798,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
97,0.13334884046581613,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
142,0.13370298492995494,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
207,0.13408874090747236,256,layer1.1.relu,ResNet50,None,Untrained,PyTorch
1,0.010079558168174789,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
2,0.025117513315099888,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
3,0.030361831768349872,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
4,0.03155770053924992,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
6,0.05531601825703075,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
9,0.08333138462688616,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
14,0.09577620960577582,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
21,0.11011384766676632,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
30,0.11893640441164213,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
45,0.12793631970646407,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
66,0.13128425623255763,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
97,0.13355040070071228,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
142,0.1313074286647091,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
207,0.1283991478460531,256,layer1.2.relu,ResNet50,None,Untrained,PyTorch
1,0.007877314718600995,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
2,0.022165470201083632,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
3,0.03894324166992779,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
4,0.04149546414401586,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
6,0.04556064692225224,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
9,0.07746650241831117,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
14,0.09063385921880561,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
21,0.10287850593256855,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
30,0.11487707138958153,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
45,0.1204583631656474,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
66,0.12348240043581102,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
97,0.1255106166625489,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
142,0.12082119896006624,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
207,0.11949974428227189,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
304,0.11531114862271145,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
445,0.10916297522354727,512,layer2.0.relu,ResNet50,None,Untrained,PyTorch
1,0.0068900922511485095,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
2,0.020425727425724113,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
3,0.028703895325384133,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
4,0.0422100804164193,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
6,0.04975841119156923,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
9,0.0571687022564879,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
14,0.07522681725277346,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
21,0.08760308291235888,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
30,0.09860374683816711,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
45,0.11775900783429148,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
66,0.12006388394600455,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
97,0.11951364499619904,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
142,0.11868811894775697,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
207,0.118144410667729,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
304,0.11251365611162485,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
445,0.10677954694071218,512,layer2.1.relu,ResNet50,None,Untrained,PyTorch
1,0.00670954695047069,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
2,0.01803837986396177,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
3,0.02741914555250715,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
4,0.03719156891171203,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
6,0.04595522992258911,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
9,0.0633559759321132,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
14,0.07567389905591425,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
21,0.09011290738268349,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
30,0.10653720481260018,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
45,0.112006432086854,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
66,0.11402208367353944,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
97,0.12109723328961686,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
142,0.1219079924872056,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
207,0.11521942642733626,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
304,0.1142195197834747,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
445,0.10564856447346269,512,layer2.2.relu,ResNet50,None,Untrained,PyTorch
1,0.005807059202475375,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
2,0.015588511080401006,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
3,0.02230826652939822,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
4,0.023925208595514003,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
6,0.03761467051216678,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
9,0.053453990215241616,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
14,0.06672956997992971,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
21,0.07896706835495997,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
30,0.0903843824226721,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
45,0.09878265778989367,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
66,0.10448343169436126,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
97,0.10145681316669466,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
142,0.10755353474657153,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
207,0.1040161743567704,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
304,0.09928944077759078,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
445,0.09681540871440375,512,layer2.3.relu,ResNet50,None,Untrained,PyTorch
1,0.00522867856063251,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
2,0.013764715613351084,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
3,0.020544314665388405,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
4,0.02730177179707987,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
6,0.03321202772806305,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
9,0.054800984332177144,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
14,0.062459921840330765,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
21,0.0745346399788664,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
30,0.08469490528261599,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
45,0.0877858380397625,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
66,0.08755515105656386,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
97,0.08763663139389927,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
142,0.0905915009403307,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
207,0.09247849193680897,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
304,0.08824112617101182,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
445,0.0830577124128166,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
652,0.07012601564823394,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
955,0.03153190074203742,1000,layer3.0.relu,ResNet50,None,Untrained,PyTorch
1,0.004966501822344434,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
2,0.010290130399004085,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
3,0.01396651464118552,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
4,0.020282551382119516,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
6,0.023343519080902948,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
9,0.038816055395543295,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
14,0.05516750751009492,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
21,0.06844826832520995,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
30,0.07706223808307837,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
45,0.08342993549152411,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
66,0.09378827508408163,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
97,0.09172795045783402,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
142,0.091931406298427,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
207,0.09247515719193886,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
304,0.08925936068899797,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
445,0.0839924307561399,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
652,0.07466553714822396,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
955,0.060598740054333494,1000,layer3.1.relu,ResNet50,None,Untrained,PyTorch
1,0.004931279048955467,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
2,0.009760662154607854,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
3,0.0144492291507171,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
4,0.020140552249715102,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
6,0.02313847104179625,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
9,0.04072139337408137,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
14,0.05654585446625319,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
21,0.06890586121480977,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
30,0.07501704868891781,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
45,0.08616877454828163,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
66,0.0939306273209685,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
97,0.09318676099322992,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
142,0.0950956501512311,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
207,0.09058028194114096,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
304,0.08483986115698267,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
445,0.07864465679468134,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
652,0.06826543864242454,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
955,0.058834624275582115,1000,layer3.2.relu,ResNet50,None,Untrained,PyTorch
1,0.004904778089450591,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
2,0.008181680147632035,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
3,0.013889658403129801,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
4,0.018158143939990518,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
6,0.02554022372548166,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
9,0.03894016795658108,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
14,0.04872112902547057,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
