layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region
conv3,0.2875706746709492,0.0040802839147624555,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",6.662043566717231,10.09265257212421,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
conv5,0.2794582310956379,0.004151603216392103,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.892561252981324,8.233365857645616,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
fc7,0.2678635407137122,0.0043413009279936274,base=alexnet (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.578913403257891,11.89220551473817,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.28829437903300476,0.0038013561747954764,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.052530122457591,8.252314307063202,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.29632435492631415,0.004060128160495198,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.795079277945793,4.299677831350609,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.26075019256089876,0.0038363802244344362,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",2.549093766485306,2.3045946620221507,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.22765036894624252,0.0036752725918821347,base=resnet50 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.9605802800478407,1.9151193044196406,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.3090861022817089,0.004043044158645409,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",7.4972829290134415,8.667985483061925,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.3265354552618173,0.00394190738318175,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.948969182239369,6.034078865576757,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.2713435095275523,0.00400817774543692,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",5.418235165576911,4.014160126918305,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.24493591010121527,0.00437376470452352,base=resnet18 (untrained)-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.345521992708137,3.693635748180003,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.39119824819877264,0.0045149912780342695,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.444567584102641,59.488059369553305,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.43144415326447083,0.004743170089625915,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.12919629832828,143.96704249087503,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.4897102991638911,0.004824539867313,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.82079696840489,110.57875524211012,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.4658687532030008,0.004217334530329336,base=resnet50 simclr-type=unsupervised-zscore-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",31.037020651884692,207.73351692841365,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block1,0.39742161793062414,0.004365457832423553,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",11.14176112403355,37.35552304646143,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block2,0.43118303183262985,0.004678073969621199,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.55209896739505,73.03678414296142,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block3,0.47913661300884014,0.004845687221729113,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",32.41703370650006,101.75702049250971,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
block4,0.4311706490322361,0.0043215780754691496,base=resnet50 simclr-type=unsupervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",33.94944319713839,208.22446397460564,unsupervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
