num_pcs,scores,layer,architecture,task,kind,source
31,0.09096323993775711,layer2.3.relu,ResNet50,None,Untrained,PyTorch
1,0.005228678879620962,layer3.0.relu,ResNet50,None,Untrained,PyTorch
6,0.033212026421385855,layer3.0.relu,ResNet50,None,Untrained,PyTorch
11,0.0571964233166697,layer3.0.relu,ResNet50,None,Untrained,PyTorch
16,0.06822720398285535,layer3.0.relu,ResNet50,None,Untrained,PyTorch
21,0.07453465157064926,layer3.0.relu,ResNet50,None,Untrained,PyTorch
26,0.08023936223374353,layer3.0.relu,ResNet50,None,Untrained,PyTorch
31,0.08519656274202296,layer3.0.relu,ResNet50,None,Untrained,PyTorch
1,0.004966501715991794,layer3.1.relu,ResNet50,None,Untrained,PyTorch
6,0.02334352561592811,layer3.1.relu,ResNet50,None,Untrained,PyTorch
11,0.04846428829666562,layer3.1.relu,ResNet50,None,Untrained,PyTorch
16,0.05629683099153341,layer3.1.relu,ResNet50,None,Untrained,PyTorch
21,0.06844827981014635,layer3.1.relu,ResNet50,None,Untrained,PyTorch
26,0.07430363605877853,layer3.1.relu,ResNet50,None,Untrained,PyTorch
31,0.07839954729010679,layer3.1.relu,ResNet50,None,Untrained,PyTorch
1,0.004931279046703736,layer3.2.relu,ResNet50,None,Untrained,PyTorch
6,0.02313847058808498,layer3.2.relu,ResNet50,None,Untrained,PyTorch
11,0.04545125804503301,layer3.2.relu,ResNet50,None,Untrained,PyTorch
16,0.06090097776218262,layer3.2.relu,ResNet50,None,Untrained,PyTorch
21,0.06890587134484438,layer3.2.relu,ResNet50,None,Untrained,PyTorch
26,0.07247576837976806,layer3.2.relu,ResNet50,None,Untrained,PyTorch
31,0.07658694748072568,layer3.2.relu,ResNet50,None,Untrained,PyTorch
1,0.0049047779086408136,layer3.3.relu,ResNet50,None,Untrained,PyTorch
6,0.025540222380274577,layer3.3.relu,ResNet50,None,Untrained,PyTorch
11,0.04102411792870709,layer3.3.relu,ResNet50,None,Untrained,PyTorch
16,0.0561179351101406,layer3.3.relu,ResNet50,None,Untrained,PyTorch
21,0.06211666483944215,layer3.3.relu,ResNet50,None,Untrained,PyTorch
26,0.06795855729594596,layer3.3.relu,ResNet50,None,Untrained,PyTorch
31,0.07202454845240089,layer3.3.relu,ResNet50,None,Untrained,PyTorch
1,0.004943699610282712,layer3.4.relu,ResNet50,None,Untrained,PyTorch
6,0.026099837847703936,layer3.4.relu,ResNet50,None,Untrained,PyTorch
11,0.03861154479242023,layer3.4.relu,ResNet50,None,Untrained,PyTorch
16,0.04903736106960333,layer3.4.relu,ResNet50,None,Untrained,PyTorch
21,0.05675705144994018,layer3.4.relu,ResNet50,None,Untrained,PyTorch
26,0.06703089708673897,layer3.4.relu,ResNet50,None,Untrained,PyTorch
31,0.0717033566094614,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1,0.004868176313065452,layer3.5.relu,ResNet50,None,Untrained,PyTorch
6,0.028394193388840985,layer3.5.relu,ResNet50,None,Untrained,PyTorch
11,0.04145778925133802,layer3.5.relu,ResNet50,None,Untrained,PyTorch
16,0.04736299125616748,layer3.5.relu,ResNet50,None,Untrained,PyTorch
21,0.06155612894595689,layer3.5.relu,ResNet50,None,Untrained,PyTorch
26,0.06545914158074925,layer3.5.relu,ResNet50,None,Untrained,PyTorch
31,0.06868042635072678,layer3.5.relu,ResNet50,None,Untrained,PyTorch
1,0.004743337658184275,layer4.0.relu,ResNet50,None,Untrained,PyTorch
6,0.02830882707926944,layer4.0.relu,ResNet50,None,Untrained,PyTorch
11,0.04343109857248362,layer4.0.relu,ResNet50,None,Untrained,PyTorch
16,0.050402886021321265,layer4.0.relu,ResNet50,None,Untrained,PyTorch
21,0.05780526005454148,layer4.0.relu,ResNet50,None,Untrained,PyTorch
26,0.06323536416011206,layer4.0.relu,ResNet50,None,Untrained,PyTorch
31,0.0719845110778588,layer4.0.relu,ResNet50,None,Untrained,PyTorch
1,0.0050264657024226,layer4.1.relu,ResNet50,None,Untrained,PyTorch
6,0.03126315475589315,layer4.1.relu,ResNet50,None,Untrained,PyTorch
11,0.046450849110563276,layer4.1.relu,ResNet50,None,Untrained,PyTorch
16,0.051473957858789096,layer4.1.relu,ResNet50,None,Untrained,PyTorch
21,0.058488052805997066,layer4.1.relu,ResNet50,None,Untrained,PyTorch
26,0.0636104569512675,layer4.1.relu,ResNet50,None,Untrained,PyTorch
31,0.06956762609860087,layer4.1.relu,ResNet50,None,Untrained,PyTorch
1,0.005253096467074073,layer4.2.relu,ResNet50,None,Untrained,PyTorch
6,0.0326346141379751,layer4.2.relu,ResNet50,None,Untrained,PyTorch
11,0.047705863850340625,layer4.2.relu,ResNet50,None,Untrained,PyTorch
16,0.051912133027830605,layer4.2.relu,ResNet50,None,Untrained,PyTorch
21,0.056139665856587466,layer4.2.relu,ResNet50,None,Untrained,PyTorch
26,0.0649448157150446,layer4.2.relu,ResNet50,None,Untrained,PyTorch
31,0.06654368621861328,layer4.2.relu,ResNet50,None,Untrained,PyTorch
1,0.02188212219317023,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.10848724847161398,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.12520410788127445,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.14040665418587797,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.1497633138275911,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.15426050298720295,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.15574028319929173,layer1.0.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.029402369423986163,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.0848800752568362,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.13093697944214355,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.14298065782102268,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.15100857902852152,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.15721215777206754,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.15715350370609807,layer1.1.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.02702673777862359,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.09163621136077103,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.11672990989415889,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.14498188735130688,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.16010854477567205,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.1874389815003327,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.19398663554639503,layer2.0.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.024511589195176674,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.11986219284872586,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.1538195859085561,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.18280620736218903,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.19899679544201204,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.20424526822414593,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.20450628654766081,layer2.1.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.025922703578192742,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.15080571310425045,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.18265681033010892,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.20776381124758297,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.218466962850984,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.22658668907480845,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.2373341140368809,layer3.0.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.013749760547684222,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.13194494452758615,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.18007447982922287,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.20546460258033444,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.22139913328323324,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.2299873321735245,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.24003358709512473,layer3.1.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.026943968157667413,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.15640181408065387,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.2002355925680713,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.22660302949359257,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.25124065338457285,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.2650104521589095,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.27960696144713887,layer4.0.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.009606763553147156,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
6,0.10968623677998549,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
11,0.15600225749011357,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
16,0.18318681397767397,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
21,0.2041585276440563,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
26,0.2167532970608361,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
31,0.23248120748446477,layer4.1.relu,ResNet18,Object Classification,Supervised,PyTorch
1,0.02182999865612551,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.07098833033174054,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.11489398385707125,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.12510341914729994,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.14270538032777305,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.14967405453613586,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.15316428552212216,layer1.0.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.023550814598283114,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.08318577243832301,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.1252031803595107,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
