accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.1724,0.4224,0.30273635096812773,-4.935922911891306,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.178,0.45,0.3207033638003641,-7.1758539447017045,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.2316,0.18145260956733877,-4.372480104857227,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1316,0.3544,0.24991333628519596,-4.403165116286968,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.168,0.4184,0.2977393888202342,-4.998853783660305,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1804,0.4688,0.32058719220390325,-7.997801162058875,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.246,0.17662620117954173,-4.33357332842106,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.11,0.322,0.22898140747893075,-4.352211454733893,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1556,0.4096,0.2860205557008299,-5.019718540439329,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1904,0.4568,0.32589175992151426,-7.788568418566699,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2096,0.16389138644665407,-4.5214580823920105,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1224,0.3452,0.2410561511397831,-4.3176448328818395,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1712,0.4108,0.2977689143015426,-4.933431258737216,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.192,0.4676,0.3298151108092712,-7.125618827742691,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.2212,0.16928644110451677,-4.418992605310415,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.114,0.3004,0.2255970596136774,-4.417779608712595,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1496,0.4044,0.280238410437654,-4.907508219267351,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.188,0.4528,0.32442189696251655,-7.081768959999224,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.232,0.1712309923873615,-4.297650657374345,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.3192,0.23181727912178113,-4.304373537108144,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1556,0.3996,0.28608054653663434,-4.8054248065395715,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1712,0.4388,0.3107350222128165,-8.494207102661553,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2612,0.19542091134992223,-4.214146419788907,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1332,0.3344,0.2493760305808901,-4.195494058710507,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1624,0.4152,0.2960830736099648,-4.824441285216378,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.184,0.4516,0.3174000727474287,-6.845266483101406,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
