layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
encode_1.conv,0.3141662082702102,0.0040487762816172,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",21.87052965985079,290.7572905216086,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3721211622454239,0.35090924531828416,0.33485288779856415,0.4053679433732188,0.4092439478713901,0.23984007552221548,0.28579813544389565,0.27847500051879237,0.18636949519256787,0.22273069250213584
encode_2,0.3317522367688764,0.0040132583800099,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.32508819864664,270.7773254856769,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37149786004681784,0.39259740177771657,0.3122858681482786,0.37190125293977594,0.40422212886120745,0.3249317739152541,0.25936734495908037,0.3590878107836018,0.2201731329872363,0.2532703653975624
encode_3,0.3542368310309122,0.0042847652979869,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.742504915399875,224.7896254073912,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39943810468856056,0.3785374226620045,0.36182263510407475,0.4454075800772935,0.4589392504975302,0.33638185654481867,0.3005507203191881,0.3499472633667911,0.20589109588296345,0.2274358741599025
encode_4,0.3587865303886255,0.004404227007007,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.311902667838874,176.35589862976306,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3957841529828914,0.41946881436117645,0.3535156210024559,0.44289979115937517,0.4727056479909551,0.3526929760929912,0.2680619152345346,0.35866003084984155,0.20156477892914682,0.2649219486675025
encode_5,0.3248085854657546,0.0044045470705621,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.805537283906857,82.60374219992657,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3374764566058891,0.37044681468431473,0.2914335738715705,0.4544215045785913,0.43884667391972604,0.354104577146571,0.2501443771658865,0.32586827494147086,0.16019380540415404,0.17021769699970352
encode_6,0.3358702442325856,0.0044292667246622,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.586607453980831,138.49029416863033,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33358709540105125,0.35715567008455007,0.26707057693307723,0.4497552220690897,0.4161436806412369,0.4106525735545515,0.2576503445009107,0.37498249373807574,0.21572609114455554,0.1804644540091851
encode_7,0.305626202015283,0.0043310793353736,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.340457971695588,167.62342022519124,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31199390055837867,0.3595491093439709,0.23713376611316664,0.4467485973516614,0.38810192940827637,0.3255627474886452,0.24521161955834173,0.3083734186151814,0.17331604776840234,0.18937669157066084
encode_8,0.2587951697912857,0.0037068902261933,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",2.4634548855109437,7.481338251172525,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.24170079850001752,0.2713046900351653,0.203538226059496,0.357422338047265,0.3312451858566927,0.2837439403388935,0.2620004347483671,0.240155063663785,0.1502522079467678,0.2302446690254928
encode_9,0.2596641695290602,0.0038113854484022,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.4180584511156755,1.7377031641892018,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.22670188922996115,0.19972573690953732,0.1961478210033906,0.3083429510172413,0.3040204570626175,0.35424745772966065,0.27757171968536465,0.3067493987433482,0.1775859235352889,0.22483270403418398
encode_1,0.266476186895695,0.0038292924010014,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.546597920479677,61.298086322963854,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3045618993944194,0.3710764541839857,0.3130564194086123,0.31254978899857466,0.35019036688758765,0.184669273450921,0.2460105608932967,0.2044470216617777,0.130004011357434,0.22039257653086236
