layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_1,0.2910549081986807,0.0042096004145189,resnet18-cpc,18.696044132432597,75.24962635343476,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.32905693897343,0.0043984043970854945,resnet18-cpc,21.87052965985079,290.7572905216086,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.34623906346247946,0.0043234155024057,resnet18-cpc,23.325088198646636,270.7773254856769,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.37578751768727553,0.004491052169927349,resnet18-cpc,12.742504915399877,224.7896254073912,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.38101575454886294,0.004629503263222084,resnet18-cpc,9.311902667838874,176.35589862976306,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.35483916994127657,0.004458236636001362,resnet18-cpc,4.805537283906857,82.60374219992657,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.36172694758090274,0.004548366405948497,resnet18-cpc,4.586607453980831,138.49029416863033,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.3298853509904851,0.004470965905594178,resnet18-cpc,4.340457971695588,167.62342022519124,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.2783089518815554,0.003931948797409339,resnet18-cpc,2.4634548855109433,7.4813382511725255,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.277995545716573,0.0040754504987184,resnet18-cpc,1.4180584511156757,1.7377031641892018,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.2830239555133745,0.0042529354251045984,resnet18-color,16.546597920479677,61.298086322963854,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1.conv,0.3071571899170797,0.00472260389874032,resnet18-color,17.113833081475047,219.04179192589476,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.3652871770746974,0.004365615051285598,resnet18-color,24.96565350615135,251.07971206141698,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.3854086123609852,0.00439390041910681,resnet18-color,24.13734533122361,380.69995413054227,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4113138682007276,0.004500544131626288,resnet18-color,24.72947642936824,455.4090071495477,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.42494403511934176,0.004626506017339473,resnet18-color,23.142007248434,473.4736182023992,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.3900907364184645,0.004868613109681936,resnet18-color,14.085959725491012,286.7022518978024,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.4208813198289876,0.004710143025440676,resnet18-color,8.572496806701968,142.7110586286491,EVC+OPA+PPA+LOC+PFS+OFA+FFA
