accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0828,0.2508,0.1851037941268644,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2628,0.19191472874235935,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.152,0.1218553155260886,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0772,0.2456,0.17859048240976655,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2532,0.18898744776885687,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2728,0.1981554218057529,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.1816,0.1397086975919478,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0716,0.2308,0.1708357621549078,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2704,0.19757827156755015,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2868,0.20320009774901224,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.152,0.1280350050608489,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.234,0.181566589397446,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2608,0.1894535969586482,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.09,0.2712,0.1988239190079445,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1684,0.13514425779055825,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.2356,0.17109905121313268,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2788,0.2023906245258934,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0964,0.29,0.20856325767833458,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1624,0.12714578956185316,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.2216,0.1662572153411167,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
