layer,score,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_9,0.3609133071497799,resnet18-ir-1000components,bonner.Object2Vec.RSA,45.492666301397875,279.09791794316965,reliable
encode_3,0.29699315793809405,resnet18-ir-pool-1000components,bonner.Object2Vec.RSA,15.104060217222935,24.432139026516452,reliable
encode_5,0.34381365681809717,resnet18-ir-pool-1000components,bonner.Object2Vec.RSA,24.161647514320318,65.10161674818562,reliable
encode_7,0.13165366935599065,resnet18-ir-pool-1000components,bonner.Object2Vec.RSA,4.362079495964393,12.699444129413768,reliable
encode_9,0.3298741662348307,resnet18-ir-pool-1000components,bonner.Object2Vec.RSA,48.80201025180074,107.44237363801153,reliable
encode_1.conv,0.1979800324570162,resnet18-ae-1000components,bonner.Object2Vec.RSA,9.06557679883299,15.147674372039473,reliable
encode_1,0.19261498254487988,resnet18-ae-1000components,bonner.Object2Vec.RSA,11.346105846246038,17.167193015301862,reliable
encode_2,0.2063720049487295,resnet18-ae-1000components,bonner.Object2Vec.RSA,14.005853524359958,27.480866041734213,reliable
encode_3,0.20669077731224275,resnet18-ae-1000components,bonner.Object2Vec.RSA,15.773406111542345,32.11138963920859,reliable
encode_4,0.21252023968105047,resnet18-ae-1000components,bonner.Object2Vec.RSA,17.161690249129894,43.63955789653345,reliable
encode_5,0.21747055736798063,resnet18-ae-1000components,bonner.Object2Vec.RSA,14.577019670644361,47.07083575572173,reliable
encode_6,0.22199950665614815,resnet18-ae-1000components,bonner.Object2Vec.RSA,14.625778128359018,49.80381899278779,reliable
encode_7,0.21828343919051996,resnet18-ae-1000components,bonner.Object2Vec.RSA,12.94169878986603,42.156729809304046,reliable
encode_8,0.21700301915246067,resnet18-ae-1000components,bonner.Object2Vec.RSA,14.787551254155808,33.8992954669629,reliable
encode_9,0.22267962822666335,resnet18-ae-1000components,bonner.Object2Vec.RSA,23.394746745116272,83.94592303074742,reliable
encode_3,0.24600773110470664,resnet18-ae-pool-1000components,bonner.Object2Vec.RSA,12.510192360573784,14.657768505684519,reliable
encode_5,0.2435910736456128,resnet18-ae-pool-1000components,bonner.Object2Vec.RSA,13.059420228279517,13.149704406906919,reliable
encode_7,0.1829790961582598,resnet18-ae-pool-1000components,bonner.Object2Vec.RSA,10.974791302331816,8.572591345041944,reliable
encode_9,0.22414850520333976,resnet18-ae-pool-1000components,bonner.Object2Vec.RSA,16.724081459191076,24.650793617653914,reliable
encode_1.conv,0.18710126768564467,resnet18-cpc-1000components,bonner.Object2Vec.RSA,21.87052965985079,290.7572905216086,reliable
encode_1,0.22610033273816726,resnet18-cpc-1000components,bonner.Object2Vec.RSA,18.696044132432597,75.24962635343476,reliable
encode_2,0.2266488125663924,resnet18-cpc-1000components,bonner.Object2Vec.RSA,23.325088198646636,270.7773254856769,reliable
encode_3,0.23750751155009264,resnet18-cpc-1000components,bonner.Object2Vec.RSA,12.742504915399877,224.7896254073912,reliable
encode_4,0.22690479923252152,resnet18-cpc-1000components,bonner.Object2Vec.RSA,9.311902667838874,176.35589862976306,reliable
encode_5,0.22589091906740882,resnet18-cpc-1000components,bonner.Object2Vec.RSA,4.805537283906857,82.60374219992657,reliable
encode_6,0.207184474243075,resnet18-cpc-1000components,bonner.Object2Vec.RSA,4.586607453980831,138.49029416863033,reliable
encode_7,0.19866941531635526,resnet18-cpc-1000components,bonner.Object2Vec.RSA,4.340457971695588,167.62342022519124,reliable
encode_8,0.18437581368915004,resnet18-cpc-1000components,bonner.Object2Vec.RSA,2.4634548855109433,7.4813382511725255,reliable
encode_9,0.13759623148465064,resnet18-cpc-1000components,bonner.Object2Vec.RSA,1.4180584511156757,1.7377031641892018,reliable
